"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1751","0","0.24110","0.20625","0.30","100000","20625","85545","3686513","36.87"
"2","1751","1","0.05295","0.05158","0.50","79375","4094","77328","3600969","45.37"
"3","1751","2","0.03459","0.03400","0.50","75280","2559","74001","3523641","46.81"
"4","1751","3","0.02788","0.02750","0.50","72721","2000","71721","3449640","47.44"
"5","1751","4","0.02569","0.02537","0.50","70721","1794","69824","3377919","47.76"
"6","1751","5","0.02080","0.02059","0.50","68927","1419","68218","3308095","47.99"
"7","1751","6","0.01463","0.01453","0.50","67508","981","67018","3239878","47.99"
"8","1751","7","0.01015","0.01010","0.50","66527","672","66192","3172860","47.69"
"9","1751","8","0.00724","0.00721","0.50","65856","475","65618","3106668","47.17"
"10","1751","9","0.00589","0.00588","0.50","65381","384","65189","3041050","46.51"
"11","1751","10","0.00601","0.00599","0.50","64996","390","64802","2975861","45.78"
"12","1751","11","0.00650","0.00648","0.50","64607","418","64398","2911060","45.06"
"13","1751","12","0.00686","0.00683","0.50","64189","439","63969","2846662","44.35"
"14","1751","13","0.00705","0.00703","0.50","63750","448","63526","2782693","43.65"
"15","1751","14","0.00704","0.00702","0.50","63302","444","63080","2719167","42.96"
"16","1751","15","0.00674","0.00672","0.50","62858","422","62646","2656088","42.26"
"17","1751","16","0.00641","0.00639","0.50","62435","399","62236","2593441","41.54"
"18","1751","17","0.00632","0.00630","0.50","62036","391","61841","2531206","40.80"
"19","1751","18","0.00655","0.00653","0.50","61645","403","61444","2469365","40.06"
"20","1751","19","0.00705","0.00702","0.50","61242","430","61027","2407921","39.32"
"21","1751","20","0.00768","0.00765","0.50","60812","465","60580","2346894","38.59"
"22","1751","21","0.00828","0.00825","0.50","60347","498","60098","2286314","37.89"
"23","1751","22","0.00873","0.00869","0.50","59849","520","59589","2226216","37.20"
"24","1751","23","0.00892","0.00888","0.50","59329","527","59066","2166627","36.52"
"25","1751","24","0.00899","0.00895","0.50","58802","526","58539","2107561","35.84"
"26","1751","25","0.00902","0.00898","0.50","58276","523","58015","2049022","35.16"
"27","1751","26","0.00905","0.00901","0.50","57753","521","57493","1991007","34.47"
"28","1751","27","0.00924","0.00920","0.50","57232","527","56969","1933515","33.78"
"29","1751","28","0.00953","0.00949","0.50","56706","538","56437","1876546","33.09"
"30","1751","29","0.00988","0.00983","0.50","56168","552","55892","1820109","32.40"
"31","1751","30","0.01054","0.01049","0.50","55615","583","55324","1764217","31.72"
"32","1751","31","0.01139","0.01133","0.50","55032","623","54720","1708893","31.05"
"33","1751","32","0.01208","0.01201","0.50","54409","653","54082","1654173","30.40"
"34","1751","33","0.01247","0.01240","0.50","53755","666","53422","1600091","29.77"
"35","1751","34","0.01249","0.01242","0.50","53089","659","52759","1546669","29.13"
"36","1751","35","0.01182","0.01175","0.50","52430","616","52122","1493909","28.49"
"37","1751","36","0.01096","0.01090","0.50","51814","565","51532","1441787","27.83"
"38","1751","37","0.01052","0.01047","0.50","51250","536","50981","1390255","27.13"
"39","1751","38","0.01056","0.01051","0.50","50713","533","50447","1339274","26.41"
"40","1751","39","0.01112","0.01106","0.50","50180","555","49903","1288827","25.68"
"41","1751","40","0.01262","0.01254","0.50","49625","622","49314","1238924","24.97"
"42","1751","41","0.01465","0.01454","0.50","49003","713","48646","1189610","24.28"
"43","1751","42","0.01641","0.01628","0.50","48290","786","47897","1140964","23.63"
"44","1751","43","0.01788","0.01773","0.50","47504","842","47083","1093067","23.01"
"45","1751","44","0.01920","0.01902","0.50","46662","887","46218","1045984","22.42"
"46","1751","45","0.01938","0.01920","0.50","45774","879","45335","999766","21.84"
"47","1751","46","0.01854","0.01837","0.50","44896","825","44483","954430","21.26"
"48","1751","47","0.01795","0.01779","0.50","44071","784","43679","909947","20.65"
"49","1751","48","0.01761","0.01746","0.50","43287","756","42909","866268","20.01"
"50","1751","49","0.01767","0.01752","0.50","42531","745","42159","823359","19.36"
"51","1751","50","0.01931","0.01913","0.50","41786","799","41387","781200","18.70"
"52","1751","51","0.02230","0.02205","0.50","40987","904","40535","739813","18.05"
"53","1751","52","0.02547","0.02515","0.50","40083","1008","39579","699278","17.45"
"54","1751","53","0.02856","0.02816","0.50","39075","1100","38525","659698","16.88"
"55","1751","54","0.03107","0.03059","0.50","37975","1162","37394","621173","16.36"
"56","1751","55","0.03067","0.03021","0.50","36813","1112","36257","583779","15.86"
"57","1751","56","0.02885","0.02844","0.50","35701","1015","35194","547522","15.34"
"58","1751","57","0.02841","0.02801","0.50","34686","971","34200","512328","14.77"
"59","1751","58","0.02932","0.02889","0.50","33715","974","33227","478128","14.18"
"60","1751","59","0.03161","0.03112","0.50","32740","1019","32231","444900","13.59"
"61","1751","60","0.03626","0.03561","0.50","31722","1130","31157","412669","13.01"
"62","1751","61","0.04145","0.04061","0.50","30592","1242","29971","381512","12.47"
"63","1751","62","0.04575","0.04473","0.50","29349","1313","28693","351542","11.98"
"64","1751","63","0.04939","0.04820","0.50","28037","1351","27361","322849","11.52"
"65","1751","64","0.05170","0.05040","0.50","26685","1345","26013","295488","11.07"
"66","1751","65","0.05225","0.05092","0.50","25340","1290","24695","269475","10.63"
"67","1751","66","0.05262","0.05128","0.50","24050","1233","23434","244779","10.18"
"68","1751","67","0.05398","0.05256","0.50","22817","1199","22217","221346","9.70"
"69","1751","68","0.05679","0.05522","0.50","21618","1194","21021","199128","9.21"
"70","1751","69","0.06170","0.05986","0.50","20424","1222","19813","178108","8.72"
"71","1751","70","0.07014","0.06777","0.50","19201","1301","18551","158295","8.24"
"72","1751","71","0.08063","0.07750","0.50","17900","1387","17207","139744","7.81"
"73","1751","72","0.09141","0.08741","0.50","16513","1443","15791","122538","7.42"
"74","1751","73","0.10286","0.09783","0.50","15069","1474","14332","106746","7.08"
"75","1751","74","0.11431","0.10813","0.50","13595","1470","12860","92414","6.80"
"76","1751","75","0.11920","0.11250","0.50","12125","1364","11443","79554","6.56"
"77","1751","76","0.11812","0.11153","0.50","10761","1200","10161","68111","6.33"
"78","1751","77","0.11765","0.11112","0.50","9561","1062","9030","57950","6.06"
"79","1751","78","0.11850","0.11187","0.50","8499","951","8023","48920","5.76"
"80","1751","79","0.12211","0.11508","0.50","7548","869","7113","40897","5.42"
"81","1751","80","0.13459","0.12610","0.50","6679","842","6258","33783","5.06"
"82","1751","81","0.15415","0.14312","0.50","5837","835","5419","27525","4.72"
"83","1751","82","0.17480","0.16075","0.50","5002","804","4600","22106","4.42"
"84","1751","83","0.19547","0.17806","0.50","4198","747","3824","17507","4.17"
"85","1751","84","0.21319","0.19266","0.50","3450","665","3118","13683","3.97"
"86","1751","85","0.21404","0.19335","0.50","2785","539","2516","10565","3.79"
"87","1751","86","0.23046","0.20665","0.50","2247","464","2015","8049","3.58"
"88","1751","87","0.24774","0.22044","0.50","1783","393","1586","6034","3.39"
"89","1751","88","0.26587","0.23468","0.50","1390","326","1227","4448","3.20"
"90","1751","89","0.28483","0.24932","0.50","1064","265","931","3221","3.03"
"91","1751","90","0.30457","0.26432","0.50","798","211","693","2290","2.87"
"92","1751","91","0.32506","0.27962","0.50","587","164","505","1598","2.72"
"93","1751","92","0.34625","0.29515","0.50","423","125","361","1092","2.58"
"94","1751","93","0.36806","0.31085","0.50","298","93","252","732","2.45"
"95","1751","94","0.39042","0.32666","0.50","206","67","172","480","2.33"
"96","1751","95","0.41326","0.34249","0.50","138","47","115","308","2.22"
"97","1751","96","0.43647","0.35828","0.50","91","33","75","193","2.12"
"98","1751","97","0.45997","0.37396","0.50","58","22","47","118","2.03"
"99","1751","98","0.48365","0.38946","0.50","37","14","29","71","1.94"
"100","1751","99","0.50739","0.40472","0.50","22","9","18","42","1.86"
"101","1751","100","0.53111","0.41967","0.50","13","6","10","24","1.79"
"102","1751","101","0.55469","0.43425","0.50","8","3","6","13","1.72"
"103","1751","102","0.57802","0.44842","0.50","4","2","3","7","1.66"
"104","1751","103","0.60101","0.46213","0.50","2","1","2","4","1.60"
"105","1751","104","0.62356","0.47535","0.50","1","1","1","2","1.55"
"106","1751","105","0.64559","0.48805","0.50","1","0","1","1","1.50"
"107","1751","106","0.66702","0.50020","0.50","0","0","0","1","1.46"
"108","1751","107","0.68778","0.51178","0.50","0","0","0","0","1.42"
"109","1751","108","0.70781","0.52279","0.50","0","0","0","0","1.39"
"110","1751","109","0.72707","0.53322","0.50","0","0","0","0","1.36"
"111","1751","110+","0.74551","1.00000","1.34","0","0","0","0","1.34"
"112","1752","0","0.27443","0.23016","0.30","100000","23016","83869","3394565","33.95"
"113","1752","1","0.07799","0.07507","0.50","76984","5779","74095","3310695","43.00"
"114","1752","2","0.05118","0.04990","0.50","71205","3553","69429","3236601","45.45"
"115","1752","3","0.03811","0.03740","0.50","67652","2530","66387","3167172","46.82"
"116","1752","4","0.03551","0.03489","0.50","65122","2272","63986","3100785","47.62"
"117","1752","5","0.03216","0.03165","0.50","62850","1989","61855","3036799","48.32"
"118","1752","6","0.02309","0.02283","0.50","60861","1389","60166","2974944","48.88"
"119","1752","7","0.01616","0.01603","0.50","59471","953","58995","2914778","49.01"
"120","1752","8","0.01139","0.01133","0.50","58518","663","58187","2855783","48.80"
"121","1752","9","0.00862","0.00858","0.50","57855","497","57607","2797597","48.36"
"122","1752","10","0.00749","0.00746","0.50","57359","428","57145","2739990","47.77"
"123","1752","11","0.00733","0.00731","0.50","56931","416","56723","2682845","47.12"
"124","1752","12","0.00719","0.00716","0.50","56515","405","56313","2626122","46.47"
"125","1752","13","0.00710","0.00708","0.50","56110","397","55912","2569810","45.80"
"126","1752","14","0.00707","0.00705","0.50","55713","393","55517","2513898","45.12"
"127","1752","15","0.00708","0.00705","0.50","55320","390","55125","2458382","44.44"
"128","1752","16","0.00691","0.00688","0.50","54930","378","54741","2403256","43.75"
"129","1752","17","0.00684","0.00681","0.50","54552","372","54366","2348515","43.05"
"130","1752","18","0.00697","0.00694","0.50","54180","376","53992","2294149","42.34"
"131","1752","19","0.00739","0.00736","0.50","53804","396","53606","2240157","41.64"
"132","1752","20","0.00802","0.00798","0.50","53408","426","53195","2186551","40.94"
"133","1752","21","0.00856","0.00852","0.50","52982","452","52756","2133356","40.27"
"134","1752","22","0.00896","0.00892","0.50","52530","468","52296","2080600","39.61"
"135","1752","23","0.00914","0.00910","0.50","52062","474","51825","2028304","38.96"
"136","1752","24","0.00899","0.00895","0.50","51588","462","51357","1976479","38.31"
"137","1752","25","0.00871","0.00867","0.50","51126","443","50905","1925122","37.65"
"138","1752","26","0.00841","0.00838","0.50","50683","425","50471","1874217","36.98"
"139","1752","27","0.00826","0.00823","0.50","50258","414","50052","1823747","36.29"
"140","1752","28","0.00828","0.00824","0.50","49845","411","49639","1773695","35.58"
"141","1752","29","0.00841","0.00837","0.50","49434","414","49227","1724056","34.88"
"142","1752","30","0.00858","0.00855","0.50","49020","419","48811","1674829","34.17"
"143","1752","31","0.00912","0.00908","0.50","48601","441","48381","1626018","33.46"
"144","1752","32","0.00969","0.00964","0.50","48160","464","47928","1577638","32.76"
"145","1752","33","0.01020","0.01015","0.50","47696","484","47454","1529710","32.07"
"146","1752","34","0.01058","0.01052","0.50","47212","497","46963","1482256","31.40"
"147","1752","35","0.01082","0.01076","0.50","46715","503","46463","1435293","30.72"
"148","1752","36","0.01052","0.01046","0.50","46212","483","45970","1388830","30.05"
"149","1752","37","0.01033","0.01027","0.50","45729","470","45494","1342859","29.37"
"150","1752","38","0.01035","0.01030","0.50","45259","466","45026","1297366","28.67"
"151","1752","39","0.01064","0.01059","0.50","44793","474","44556","1252340","27.96"
"152","1752","40","0.01118","0.01112","0.50","44319","493","44072","1207785","27.25"
"153","1752","41","0.01264","0.01256","0.50","43826","550","43551","1163712","26.55"
"154","1752","42","0.01398","0.01389","0.50","43275","601","42975","1120162","25.88"
"155","1752","43","0.01495","0.01484","0.50","42674","633","42358","1077187","25.24"
"156","1752","44","0.01551","0.01539","0.50","42041","647","41718","1034829","24.61"
"157","1752","45","0.01592","0.01579","0.50","41394","654","41067","993112","23.99"
"158","1752","46","0.01524","0.01513","0.50","40740","616","40432","952044","23.37"
"159","1752","47","0.01480","0.01469","0.50","40124","589","39829","911612","22.72"
"160","1752","48","0.01473","0.01462","0.50","39535","578","39246","871783","22.05"
"161","1752","49","0.01503","0.01492","0.50","38956","581","38666","832537","21.37"
"162","1752","50","0.01560","0.01548","0.50","38375","594","38078","793871","20.69"
"163","1752","51","0.01801","0.01785","0.50","37781","674","37444","755793","20.00"
"164","1752","52","0.02062","0.02041","0.50","37107","758","36728","718349","19.36"
"165","1752","53","0.02333","0.02307","0.50","36349","838","35930","681621","18.75"
"166","1752","54","0.02584","0.02551","0.50","35511","906","35058","645691","18.18"
"167","1752","55","0.02798","0.02759","0.50","34605","955","34127","610633","17.65"
"168","1752","56","0.02693","0.02657","0.50","33650","894","33203","576506","17.13"
"169","1752","57","0.02631","0.02597","0.50","32756","851","32331","543303","16.59"
"170","1752","58","0.02637","0.02602","0.50","31905","830","31490","510972","16.02"
"171","1752","59","0.02713","0.02676","0.50","31075","832","30659","479482","15.43"
"172","1752","60","0.02840","0.02800","0.50","30243","847","29820","448823","14.84"
