"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1959","0","0.03472","0.03372","0.14","100000","3372","97106","6441125","64.41"
"2","1959","1","0.00280","0.00279","0.50","96628","270","96494","6344019","65.65"
"3","1959","2","0.00167","0.00167","0.50","96359","161","96278","6247526","64.84"
"4","1959","3","0.00122","0.00122","0.50","96198","117","96139","6151248","63.94"
"5","1959","4","0.00090","0.00090","0.50","96080","86","96037","6055108","63.02"
"6","1959","5","0.00112","0.00112","0.50","95994","108","95941","5959071","62.08"
"7","1959","6","0.00134","0.00134","0.50","95887","128","95823","5863130","61.15"
"8","1959","7","0.00082","0.00081","0.50","95759","78","95720","5767307","60.23"
"9","1959","8","0.00041","0.00041","0.50","95681","40","95661","5671588","59.28"
"10","1959","9","0.00113","0.00113","0.50","95641","108","95587","5575927","58.30"
"11","1959","10","0.00051","0.00051","0.50","95532","49","95508","5480340","57.37"
"12","1959","11","0.00074","0.00074","0.50","95484","71","95448","5384832","56.40"
"13","1959","12","0.00066","0.00066","0.50","95413","63","95381","5289384","55.44"
"14","1959","13","0.00135","0.00135","0.50","95350","129","95285","5194002","54.47"
"15","1959","14","0.00110","0.00110","0.50","95221","105","95169","5098717","53.55"
"16","1959","15","0.00181","0.00181","0.50","95116","172","95030","5003548","52.60"
"17","1959","16","0.00141","0.00141","0.50","94944","134","94877","4908518","51.70"
"18","1959","17","0.00120","0.00120","0.50","94810","114","94753","4813641","50.77"
"19","1959","18","0.00242","0.00242","0.50","94696","229","94581","4718889","49.83"
"20","1959","19","0.00215","0.00214","0.50","94466","203","94365","4624308","48.95"
"21","1959","20","0.00308","0.00308","0.50","94264","290","94119","4529943","48.06"
"22","1959","21","0.00354","0.00354","0.50","93974","332","93808","4435824","47.20"
"23","1959","22","0.00279","0.00279","0.50","93641","261","93511","4342016","46.37"
"24","1959","23","0.00340","0.00339","0.50","93380","317","93222","4248506","45.50"
"25","1959","24","0.00312","0.00312","0.50","93063","290","92918","4155284","44.65"
"26","1959","25","0.00394","0.00393","0.50","92773","365","92591","4062366","43.79"
"27","1959","26","0.00302","0.00302","0.50","92408","279","92269","3969775","42.96"
"28","1959","27","0.00311","0.00311","0.50","92129","286","91986","3877506","42.09"
"29","1959","28","0.00300","0.00299","0.50","91843","275","91706","3785520","41.22"
"30","1959","29","0.00253","0.00252","0.50","91569","231","91453","3693814","40.34"
"31","1959","30","0.00389","0.00388","0.50","91337","354","91160","3602361","39.44"
"32","1959","31","0.00502","0.00501","0.50","90983","455","90756","3511200","38.59"
"33","1959","32","0.00223","0.00223","0.50","90528","202","90427","3420445","37.78"
"34","1959","33","0.00352","0.00351","0.50","90326","317","90168","3330018","36.87"
"35","1959","34","0.00392","0.00392","0.50","90009","352","89833","3239850","35.99"
"36","1959","35","0.00461","0.00460","0.50","89656","412","89450","3150018","35.13"
"37","1959","36","0.00346","0.00345","0.50","89244","308","89090","3060567","34.29"
"38","1959","37","0.00440","0.00439","0.50","88936","391","88741","2971477","33.41"
"39","1959","38","0.00431","0.00430","0.50","88545","381","88355","2882736","32.56"
"40","1959","39","0.00527","0.00526","0.50","88165","464","87933","2794382","31.70"
"41","1959","40","0.00438","0.00437","0.50","87701","383","87509","2706449","30.86"
"42","1959","41","0.00587","0.00586","0.50","87318","511","87062","2618939","29.99"
"43","1959","42","0.00577","0.00575","0.50","86806","499","86557","2531877","29.17"
"44","1959","43","0.00372","0.00371","0.50","86307","320","86147","2445320","28.33"
"45","1959","44","0.00617","0.00615","0.50","85987","529","85723","2359173","27.44"
"46","1959","45","0.00721","0.00718","0.50","85458","614","85151","2273451","26.60"
"47","1959","46","0.00500","0.00499","0.50","84844","423","84633","2188299","25.79"
"48","1959","47","0.00673","0.00670","0.50","84421","566","84138","2103667","24.92"
"49","1959","48","0.00682","0.00680","0.50","83855","570","83570","2019528","24.08"
"50","1959","49","0.01034","0.01029","0.50","83285","857","82857","1935958","23.24"
"51","1959","50","0.01133","0.01126","0.50","82428","928","81964","1853101","22.48"
"52","1959","51","0.00824","0.00821","0.50","81500","669","81165","1771137","21.73"
"53","1959","52","0.01192","0.01185","0.50","80831","958","80352","1689972","20.91"
"54","1959","53","0.01247","0.01240","0.50","79873","990","79378","1609620","20.15"
"55","1959","54","0.01411","0.01401","0.50","78883","1105","78330","1530242","19.40"
"56","1959","55","0.01659","0.01645","0.50","77777","1279","77137","1451912","18.67"
"57","1959","56","0.01698","0.01683","0.50","76498","1288","75854","1374775","17.97"
"58","1959","57","0.01760","0.01745","0.50","75210","1312","74554","1298921","17.27"
"59","1959","58","0.02007","0.01987","0.50","73898","1468","73164","1224367","16.57"
"60","1959","59","0.02167","0.02143","0.50","72430","1552","71654","1151203","15.89"
"61","1959","60","0.01838","0.01822","0.50","70877","1291","70232","1079550","15.23"
"62","1959","61","0.02471","0.02441","0.50","69586","1699","68737","1009318","14.50"
"63","1959","62","0.02481","0.02450","0.50","67888","1664","67056","940581","13.85"
"64","1959","63","0.03164","0.03115","0.50","66224","2063","65193","873525","13.19"
"65","1959","64","0.03368","0.03312","0.50","64161","2125","63099","808333","12.60"
"66","1959","65","0.03628","0.03563","0.50","62036","2210","60931","745234","12.01"
"67","1959","66","0.03796","0.03726","0.50","59826","2229","58711","684303","11.44"
"68","1959","67","0.04315","0.04224","0.50","57597","2433","56381","625592","10.86"
"69","1959","68","0.04728","0.04618","0.50","55164","2548","53890","569211","10.32"
"70","1959","69","0.05362","0.05222","0.50","52617","2747","51243","515321","9.79"
