"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1983","0","0.01469","0.01450","0.12","100000","1450","98724","7310257","73.10"
"2","1983","1","0.00077","0.00077","0.50","98550","76","98512","7211533","73.18"
"3","1983","2","0.00072","0.00072","0.50","98474","71","98439","7113021","72.23"
"4","1983","3","0.00059","0.00059","0.50","98404","58","98374","7014582","71.28"
"5","1983","4","0.00043","0.00043","0.50","98345","42","98324","6916208","70.33"
"6","1983","5","0.00032","0.00032","0.50","98303","31","98287","6817884","69.36"
"7","1983","6","0.00031","0.00031","0.50","98271","31","98256","6719596","68.38"
"8","1983","7","0.00033","0.00033","0.50","98241","32","98225","6621340","67.40"
"9","1983","8","0.00021","0.00021","0.50","98208","21","98198","6523116","66.42"
"10","1983","9","0.00013","0.00013","0.50","98188","13","98181","6424918","65.44"
"11","1983","10","0.00021","0.00021","0.50","98175","20","98165","6326736","64.44"
"12","1983","11","0.00035","0.00035","0.50","98154","34","98137","6228572","63.46"
"13","1983","12","0.00021","0.00021","0.50","98120","21","98110","6130435","62.48"
"14","1983","13","0.00041","0.00041","0.50","98100","41","98080","6032324","61.49"
"15","1983","14","0.00038","0.00038","0.50","98059","38","98040","5934245","60.52"
"16","1983","15","0.00056","0.00056","0.50","98022","55","97994","5836204","59.54"
"17","1983","16","0.00041","0.00041","0.50","97967","40","97947","5738210","58.57"
"18","1983","17","0.00066","0.00066","0.50","97927","65","97894","5640264","57.60"
"19","1983","18","0.00109","0.00109","0.50","97862","106","97809","5542369","56.63"
"20","1983","19","0.00108","0.00108","0.50","97756","105","97703","5444560","55.70"
"21","1983","20","0.00150","0.00150","0.50","97650","146","97577","5346857","54.76"
"22","1983","21","0.00104","0.00104","0.50","97504","102","97453","5249280","53.84"
"23","1983","22","0.00092","0.00092","0.50","97403","89","97358","5151826","52.89"
"24","1983","23","0.00104","0.00104","0.50","97313","101","97263","5054468","51.94"
"25","1983","24","0.00092","0.00092","0.50","97212","89","97167","4957206","50.99"
"26","1983","25","0.00102","0.00102","0.50","97122","99","97073","4860039","50.04"
"27","1983","26","0.00106","0.00106","0.50","97023","103","96972","4762966","49.09"
"28","1983","27","0.00090","0.00090","0.50","96921","87","96877","4665994","48.14"
"29","1983","28","0.00097","0.00097","0.50","96834","94","96787","4569116","47.19"
"30","1983","29","0.00069","0.00069","0.50","96740","67","96707","4472329","46.23"
