"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1959","0","0.02629","0.02571","0.15","100000","2571","97811","7265923","72.66"
"2","1959","1","0.00240","0.00239","0.50","97429","233","97312","7168112","73.57"
"3","1959","2","0.00162","0.00162","0.50","97195","157","97117","7070800","72.75"
"4","1959","3","0.00105","0.00105","0.50","97038","102","96987","6973683","71.87"
"5","1959","4","0.00075","0.00075","0.50","96936","73","96900","6876695","70.94"
"6","1959","5","0.00069","0.00069","0.50","96864","67","96830","6779795","69.99"
"7","1959","6","0.00065","0.00065","0.50","96797","63","96766","6682965","69.04"
"8","1959","7","0.00058","0.00058","0.50","96734","56","96706","6586199","68.09"
"9","1959","8","0.00053","0.00053","0.50","96678","51","96653","6489493","67.12"
"10","1959","9","0.00046","0.00046","0.50","96627","44","96605","6392840","66.16"
"11","1959","10","0.00040","0.00040","0.50","96583","38","96564","6296235","65.19"
"12","1959","11","0.00038","0.00038","0.50","96545","37","96526","6199671","64.22"
"13","1959","12","0.00041","0.00041","0.50","96508","40","96488","6103145","63.24"
"14","1959","13","0.00048","0.00048","0.50","96468","47","96444","6006657","62.27"
"15","1959","14","0.00055","0.00055","0.50","96421","53","96394","5910213","61.30"
"16","1959","15","0.00062","0.00062","0.50","96368","60","96338","5813818","60.33"
"17","1959","16","0.00068","0.00068","0.50","96308","66","96275","5717481","59.37"
"18","1959","17","0.00072","0.00072","0.50","96242","70","96207","5621206","58.41"
"19","1959","18","0.00080","0.00080","0.50","96173","77","96134","5524998","57.45"
"20","1959","19","0.00091","0.00091","0.50","96096","87","96052","5428864","56.49"
"21","1959","20","0.00099","0.00099","0.50","96008","95","95961","5332812","55.55"
"22","1959","21","0.00107","0.00107","0.50","95913","102","95862","5236851","54.60"
"23","1959","22","0.00114","0.00114","0.50","95811","109","95757","5140989","53.66"
"24","1959","23","0.00121","0.00121","0.50","95702","115","95644","5045233","52.72"
"25","1959","24","0.00128","0.00128","0.50","95587","122","95525","4949588","51.78"
"26","1959","25","0.00127","0.00127","0.50","95464","122","95403","4854063","50.85"
"27","1959","26","0.00121","0.00121","0.50","95343","116","95285","4758659","49.91"
"28","1959","27","0.00124","0.00124","0.50","95227","118","95168","4663375","48.97"
"29","1959","28","0.00129","0.00129","0.50","95109","123","95047","4568207","48.03"
"30","1959","29","0.00140","0.00140","0.50","94986","133","94920","4473159","47.09"
"31","1959","30","0.00147","0.00147","0.50","94853","140","94783","4378240","46.16"
"32","1959","31","0.00153","0.00153","0.50","94713","145","94641","4283456","45.23"
"33","1959","32","0.00161","0.00161","0.50","94568","152","94492","4188815","44.29"
"34","1959","33","0.00159","0.00159","0.50","94417","150","94342","4094323","43.36"
"35","1959","34","0.00163","0.00163","0.50","94267","154","94190","3999981","42.43"
"36","1959","35","0.00160","0.00160","0.50","94113","151","94038","3905791","41.50"
"37","1959","36","0.00159","0.00159","0.50","93963","149","93888","3811753","40.57"
"38","1959","37","0.00173","0.00173","0.50","93814","162","93732","3717865","39.63"
"39","1959","38","0.00189","0.00189","0.50","93651","177","93563","3624133","38.70"
"40","1959","39","0.00207","0.00207","0.50","93474","194","93377","3530570","37.77"
"41","1959","40","0.00216","0.00216","0.50","93281","202","93180","3437193","36.85"
"42","1959","41","0.00252","0.00251","0.50","93079","234","92962","3344013","35.93"
"43","1959","42","0.00302","0.00301","0.50","92845","280","92705","3251051","35.02"
"44","1959","43","0.00301","0.00301","0.50","92565","278","92426","3158346","34.12"
"45","1959","44","0.00304","0.00303","0.50","92287","280","92147","3065919","33.22"
