"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1950","0","0.12660","0.11628","0.30","100000","11628","91850","5926264","59.26"
"2","1950","1","0.00890","0.00886","0.50","88372","783","87980","5834414","66.02"
"3","1950","2","0.00355","0.00354","0.50","87589","310","87434","5746434","65.61"
"4","1950","3","0.00259","0.00259","0.50","87279","226","87166","5659000","64.84"
"5","1950","4","0.00156","0.00156","0.50","87053","136","86985","5571834","64.00"
"6","1950","5","0.00137","0.00137","0.50","86917","119","86858","5484848","63.10"
"7","1950","6","0.00151","0.00151","0.50","86798","131","86733","5397991","62.19"
"8","1950","7","0.00111","0.00111","0.50","86667","96","86619","5311258","61.28"
"9","1950","8","0.00115","0.00115","0.50","86571","100","86521","5224639","60.35"
"10","1950","9","0.00080","0.00080","0.50","86471","69","86436","5138118","59.42"
"11","1950","10","0.00123","0.00123","0.50","86402","107","86348","5051681","58.47"
"12","1950","11","0.00101","0.00101","0.50","86295","87","86252","4965333","57.54"
"13","1950","12","0.00100","0.00100","0.50","86208","87","86165","4879081","56.60"
"14","1950","13","0.00147","0.00147","0.50","86122","126","86059","4792916","55.65"
"15","1950","14","0.00110","0.00110","0.50","85995","95","85948","4706858","54.73"
"16","1950","15","0.00136","0.00136","0.50","85901","117","85842","4620910","53.79"
"17","1950","16","0.00150","0.00150","0.50","85784","129","85719","4535068","52.87"
"18","1950","17","0.00245","0.00245","0.50","85655","210","85550","4449348","51.95"
"19","1950","18","0.00267","0.00266","0.50","85445","228","85331","4363799","51.07"
"20","1950","19","0.00309","0.00309","0.50","85217","263","85086","4278468","50.21"
"21","1950","20","0.00268","0.00267","0.50","84954","227","84840","4193382","49.36"
"22","1950","21","0.00341","0.00340","0.50","84727","288","84582","4108542","48.49"
"23","1950","22","0.00369","0.00368","0.50","84438","311","84283","4023959","47.66"
"24","1950","23","0.00326","0.00326","0.50","84128","274","83990","3939676","46.83"
"25","1950","24","0.00291","0.00291","0.50","83853","244","83732","3855686","45.98"
"26","1950","25","0.00308","0.00308","0.50","83610","257","83481","3771954","45.11"
"27","1950","26","0.00313","0.00312","0.50","83352","260","83222","3688473","44.25"
"28","1950","27","0.00266","0.00266","0.50","83092","221","82982","3605251","43.39"
"29","1950","28","0.00288","0.00287","0.50","82871","238","82752","3522270","42.50"
"30","1950","29","0.00310","0.00310","0.50","82633","256","82505","3439518","41.62"
"31","1950","30","0.00365","0.00364","0.50","82377","300","82227","3357013","40.75"
"32","1950","31","0.00247","0.00247","0.50","82077","202","81976","3274785","39.90"
"33","1950","32","0.00251","0.00251","0.50","81875","205","81772","3192809","39.00"
"34","1950","33","0.00263","0.00263","0.50","81670","215","81562","3111037","38.09"
"35","1950","34","0.00263","0.00263","0.50","81455","214","81348","3029475","37.19"
"36","1950","35","0.00323","0.00322","0.50","81241","262","81110","2948127","36.29"
"37","1950","36","0.00389","0.00388","0.50","80979","314","80822","2867017","35.40"
"38","1950","37","0.00305","0.00304","0.50","80665","246","80542","2786195","34.54"
"39","1950","38","0.00431","0.00430","0.50","80419","345","80247","2705653","33.64"
"40","1950","39","0.00357","0.00356","0.50","80074","285","79931","2625406","32.79"
"41","1950","40","0.00379","0.00378","0.50","79789","302","79638","2545475","31.90"
