"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1921","0","0.10582","0.09866","0.31","100000","9866","93233","5821957","58.22"
"2","1921","1","0.01559","0.01547","0.50","90134","1395","89437","5728724","63.56"
"3","1921","2","0.00741","0.00738","0.50","88739","655","88412","5639287","63.55"
"4","1921","3","0.00544","0.00543","0.50","88084","478","87845","5550875","63.02"
"5","1921","4","0.00456","0.00455","0.50","87606","399","87407","5463030","62.36"
"6","1921","5","0.00343","0.00343","0.50","87207","299","87058","5375623","61.64"
"7","1921","6","0.00285","0.00285","0.50","86909","248","86785","5288565","60.85"
"8","1921","7","0.00283","0.00283","0.50","86661","245","86538","5201780","60.02"
"9","1921","8","0.00247","0.00247","0.50","86416","213","86309","5115242","59.19"
"10","1921","9","0.00216","0.00216","0.50","86203","186","86110","5028933","58.34"
"11","1921","10","0.00192","0.00192","0.50","86017","165","85934","4942823","57.46"
"12","1921","11","0.00203","0.00202","0.50","85851","174","85765","4856889","56.57"
"13","1921","12","0.00204","0.00204","0.50","85678","174","85590","4771125","55.69"
"14","1921","13","0.00201","0.00201","0.50","85503","172","85417","4685534","54.80"
"15","1921","14","0.00224","0.00224","0.50","85331","191","85236","4600117","53.91"
"16","1921","15","0.00241","0.00241","0.50","85140","205","85037","4514882","53.03"
"17","1921","16","0.00293","0.00292","0.50","84935","248","84811","4429844","52.16"
"18","1921","17","0.00276","0.00276","0.50","84686","233","84570","4345033","51.31"
"19","1921","18","0.00340","0.00339","0.50","84453","287","84310","4260464","50.45"
"20","1921","19","0.00376","0.00376","0.50","84167","316","84008","4176154","49.62"
"21","1921","20","0.00390","0.00389","0.50","83850","326","83687","4092145","48.80"
"22","1921","21","0.00382","0.00382","0.50","83524","319","83365","4008458","47.99"
"23","1921","22","0.00420","0.00419","0.50","83205","349","83031","3925094","47.17"
"24","1921","23","0.00452","0.00451","0.50","82857","374","82670","3842062","46.37"
"25","1921","24","0.00455","0.00454","0.50","82483","375","82296","3759392","45.58"
"26","1921","25","0.00423","0.00422","0.50","82108","346","81935","3677097","44.78"
"27","1921","26","0.00456","0.00455","0.50","81762","372","81576","3595161","43.97"
"28","1921","27","0.00473","0.00472","0.50","81391","384","81198","3513585","43.17"
"29","1921","28","0.00476","0.00475","0.50","81006","385","80814","3432387","42.37"
"30","1921","29","0.00458","0.00457","0.50","80621","368","80437","3351573","41.57"
"31","1921","30","0.00507","0.00506","0.50","80253","406","80050","3271136","40.76"
"32","1921","31","0.00432","0.00431","0.50","79847","344","79675","3191085","39.96"
"33","1921","32","0.00479","0.00477","0.50","79503","380","79313","3111410","39.14"
"34","1921","33","0.00467","0.00466","0.50","79123","369","78939","3032097","38.32"
"35","1921","34","0.00526","0.00524","0.50","78755","413","78548","2953158","37.50"
"36","1921","35","0.00567","0.00566","0.50","78342","443","78120","2874610","36.69"
"37","1921","36","0.00582","0.00581","0.50","77899","452","77673","2796490","35.90"
"38","1921","37","0.00572","0.00571","0.50","77446","442","77225","2718817","35.11"
"39","1921","38","0.00624","0.00622","0.50","77004","479","76765","2641592","34.30"
"40","1921","39","0.00600","0.00599","0.50","76525","458","76296","2564827","33.52"
"41","1921","40","0.00634","0.00632","0.50","76067","481","75827","2488531","32.71"
"42","1921","41","0.00540","0.00538","0.50","75586","407","75383","2412704","31.92"
"43","1921","42","0.00712","0.00709","0.50","75179","533","74913","2337321","31.09"
"44","1921","43","0.00672","0.00670","0.50","74646","500","74396","2262408","30.31"
"45","1921","44","0.00675","0.00673","0.50","74146","499","73897","2188012","29.51"
"46","1921","45","0.00791","0.00788","0.50","73647","581","73357","2114116","28.71"
"47","1921","46","0.00701","0.00699","0.50","73067","511","72811","2040759","27.93"
"48","1921","47","0.00721","0.00719","0.50","72556","521","72295","1967948","27.12"
"49","1921","48","0.00792","0.00789","0.50","72034","568","71750","1895653","26.32"
"50","1921","49","0.00817","0.00814","0.50","71466","582","71175","1823902","25.52"
"51","1921","50","0.00959","0.00954","0.50","70885","677","70546","1752727","24.73"
"52","1921","51","0.00876","0.00872","0.50","70208","612","69902","1682181","23.96"
"53","1921","52","0.01225","0.01217","0.50","69596","847","69172","1612279","23.17"
"54","1921","53","0.01049","0.01043","0.50","68749","717","68390","1543107","22.45"
"55","1921","54","0.01184","0.01177","0.50","68031","801","67631","1474717","21.68"
"56","1921","55","0.01191","0.01184","0.50","67231","796","66832","1407086","20.93"
"57","1921","56","0.01250","0.01242","0.50","66434","825","66022","1340253","20.17"
"58","1921","57","0.01318","0.01309","0.50","65609","859","65180","1274231","19.42"
"59","1921","58","0.01698","0.01684","0.50","64751","1090","64206","1209051","18.67"
"60","1921","59","0.01573","0.01560","0.50","63661","993","63164","1144846","17.98"
"61","1921","60","0.02082","0.02061","0.50","62667","1292","62021","1081682","17.26"
"62","1921","61","0.01663","0.01649","0.50","61376","1012","60870","1019660","16.61"
"63","1921","62","0.02007","0.01987","0.50","60364","1200","59764","958791","15.88"
"64","1921","63","0.02162","0.02139","0.50","59164","1266","58531","899027","15.20"
"65","1921","64","0.02494","0.02463","0.50","57898","1426","57185","840496","14.52"
"66","1921","65","0.03070","0.03024","0.50","56472","1708","55618","783311","13.87"
"67","1921","66","0.03115","0.03067","0.50","54765","1680","53925","727692","13.29"
"68","1921","67","0.03343","0.03288","0.50","53085","1746","52212","673767","12.69"
"69","1921","68","0.04291","0.04201","0.50","51339","2157","50261","621555","12.11"
"70","1921","69","0.03706","0.03639","0.50","49183","1790","48288","571294","11.62"
"71","1921","70","0.04952","0.04832","0.50","47393","2290","46248","523006","11.04"
"72","1921","71","0.04176","0.04090","0.50","45103","1845","44181","476758","10.57"
"73","1921","72","0.05345","0.05206","0.50","43258","2252","42132","432578","10.00"
"74","1921","73","0.05454","0.05309","0.50","41006","2177","39918","390445","9.52"
"75","1921","74","0.06237","0.06049","0.50","38829","2349","37655","350528","9.03"
"76","1921","75","0.07151","0.06904","0.50","36481","2519","35221","312873","8.58"
"77","1921","76","0.07811","0.07517","0.50","33962","2553","32685","277652","8.18"
"78","1921","77","0.07631","0.07350","0.50","31409","2309","30255","244966","7.80"
"79","1921","78","0.09791","0.09334","0.50","29100","2716","27742","214711","7.38"
"80","1921","79","0.08011","0.07702","0.50","26384","2032","25368","186969","7.09"
"81","1921","80","0.10438","0.09920","0.50","24352","2416","23144","161601","6.64"
"82","1921","81","0.08738","0.08373","0.50","21936","1837","21018","138457","6.31"
"83","1921","82","0.11500","0.10875","0.50","20100","2186","19007","117439","5.84"
"84","1921","83","0.13025","0.12229","0.50","17914","2191","16818","98433","5.49"
"85","1921","84","0.13812","0.12920","0.50","15723","2031","14707","81614","5.19"
"86","1921","85","0.15246","0.14166","0.50","13692","1940","12722","66907","4.89"
"87","1921","86","0.15674","0.14535","0.50","11752","1708","10898","54185","4.61"
"88","1921","87","0.19871","0.18075","0.50","10044","1815","9136","43287","4.31"
"89","1921","88","0.20092","0.18257","0.50","8228","1502","7477","34151","4.15"
"90","1921","89","0.18709","0.17109","0.50","6726","1151","6151","26673","3.97"
"91","1921","90","0.24434","0.21774","0.50","5575","1214","4968","20522","3.68"
"92","1921","91","0.21224","0.19188","0.50","4361","837","3943","15554","3.57"
"93","1921","92","0.25556","0.22660","0.50","3525","799","3125","11611","3.29"
"94","1921","93","0.27445","0.24134","0.50","2726","658","2397","8486","3.11"
"95","1921","94","0.29419","0.25646","0.50","2068","530","1803","6089","2.94"
"96","1921","95","0.31473","0.27194","0.50","1538","418","1329","4286","2.79"
"97","1921","96","0.33602","0.28769","0.50","1120","322","958","2957","2.64"
"98","1921","97","0.35800","0.30365","0.50","797","242","676","1999","2.51"
"99","1921","98","0.38059","0.31975","0.50","555","178","467","1323","2.38"
"100","1921","99","0.40372","0.33591","0.50","378","127","314","856","2.27"
"101","1921","100","0.42728","0.35206","0.50","251","88","207","542","2.16"
"102","1921","101","0.45117","0.36813","0.50","163","60","133","335","2.06"
"103","1921","102","0.47529","0.38403","0.50","103","39","83","202","1.97"
"104","1921","103","0.49952","0.39970","0.50","63","25","51","119","1.89"
"105","1921","104","0.52376","0.41506","0.50","38","16","30","69","1.81"
"106","1921","105","0.54789","0.43007","0.50","22","10","17","39","1.74"
"107","1921","106","0.57179","0.44467","0.50","13","6","10","21","1.68"
"108","1921","107","0.59537","0.45879","0.50","7","3","5","11","1.62"
"109","1921","108","0.61851","0.47241","0.50","4","2","3","6","1.57"
