"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1835","0","0.23683","0.20311","0.30","100000","20311","85765","3669883","36.70"
"2","1835","1","0.06126","0.05944","0.50","79689","4737","77320","3584118","44.98"
"3","1835","2","0.04573","0.04471","0.50","74952","3351","73276","3506798","46.79"
"4","1835","3","0.02885","0.02844","0.50","71601","2036","70583","3433522","47.95"
"5","1835","4","0.01791","0.01775","0.50","69565","1235","68948","3362939","48.34"
"6","1835","5","0.01509","0.01497","0.50","68330","1023","67819","3293991","48.21"
"7","1835","6","0.01393","0.01383","0.50","67307","931","66842","3226172","47.93"
"8","1835","7","0.01257","0.01249","0.50","66376","829","65962","3159330","47.60"
"9","1835","8","0.01110","0.01103","0.50","65547","723","65185","3093368","47.19"
"10","1835","9","0.00967","0.00962","0.50","64824","624","64512","3028183","46.71"
"11","1835","10","0.00833","0.00830","0.50","64200","533","63934","2963671","46.16"
"12","1835","11","0.00727","0.00725","0.50","63667","461","63437","2899738","45.55"
"13","1835","12","0.00652","0.00650","0.50","63206","411","63001","2836301","44.87"
"14","1835","13","0.00602","0.00600","0.50","62795","377","62607","2773300","44.16"
"15","1835","14","0.00578","0.00576","0.50","62418","360","62239","2710694","43.43"
"16","1835","15","0.00577","0.00575","0.50","62059","357","61880","2648455","42.68"
"17","1835","16","0.00585","0.00584","0.50","61702","360","61522","2586575","41.92"
"18","1835","17","0.00602","0.00600","0.50","61342","368","61158","2525053","41.16"
"19","1835","18","0.00633","0.00631","0.50","60974","385","60781","2463895","40.41"
"20","1835","19","0.00686","0.00684","0.50","60589","414","60382","2403114","39.66"
"21","1835","20","0.00762","0.00760","0.50","60175","457","59946","2342732","38.93"
"22","1835","21","0.00829","0.00825","0.50","59718","493","59471","2282785","38.23"
"23","1835","22","0.00866","0.00862","0.50","59225","511","58969","2223314","37.54"
"24","1835","23","0.00880","0.00876","0.50","58714","514","58457","2164345","36.86"
"25","1835","24","0.00876","0.00872","0.50","58200","508","57946","2105888","36.18"
"26","1835","25","0.00877","0.00874","0.50","57692","504","57440","2047942","35.50"
"27","1835","26","0.00880","0.00877","0.50","57188","501","56938","1990501","34.81"
"28","1835","27","0.00871","0.00868","0.50","56687","492","56441","1933564","34.11"
"29","1835","28","0.00869","0.00866","0.50","56195","486","55952","1877123","33.40"
"30","1835","29","0.00878","0.00874","0.50","55709","487","55465","1821171","32.69"
"31","1835","30","0.00880","0.00876","0.50","55222","484","54980","1765705","31.97"
"32","1835","31","0.00898","0.00894","0.50","54738","489","54493","1710725","31.25"
"33","1835","32","0.00946","0.00942","0.50","54249","511","53994","1656232","30.53"
"34","1835","33","0.01004","0.00999","0.50","53738","537","53470","1602238","29.82"
"35","1835","34","0.01076","0.01071","0.50","53201","570","52916","1548769","29.11"
"36","1835","35","0.01183","0.01176","0.50","52632","619","52322","1495852","28.42"
"37","1835","36","0.01287","0.01279","0.50","52012","665","51680","1443530","27.75"
"38","1835","37","0.01345","0.01336","0.50","51347","686","51004","1391850","27.11"
"39","1835","38","0.01381","0.01372","0.50","50661","695","50314","1340846","26.47"
"40","1835","39","0.01407","0.01397","0.50","49966","698","49617","1290532","25.83"
"41","1835","40","0.01407","0.01397","0.50","49268","688","48924","1240915","25.19"
"42","1835","41","0.01416","0.01406","0.50","48580","683","48238","1191991","24.54"
"43","1835","42","0.01460","0.01450","0.50","47897","694","47550","1143753","23.88"
"44","1835","43","0.01530","0.01519","0.50","47203","717","46844","1096203","23.22"
"45","1835","44","0.01637","0.01624","0.50","46486","755","46108","1049359","22.57"
"46","1835","45","0.01801","0.01785","0.50","45731","816","45323","1003251","21.94"
"47","1835","46","0.01955","0.01937","0.50","44914","870","44480","957928","21.33"
"48","1835","47","0.02048","0.02027","0.50","44045","893","43598","913449","20.74"
"49","1835","48","0.02116","0.02094","0.50","43152","904","42700","869850","20.16"
"50","1835","49","0.02155","0.02132","0.50","42248","901","41798","827150","19.58"
