"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1959","0","0.02910","0.02841","0.16","100000","2841","97613","7197601","71.98"
"2","1959","1","0.00274","0.00274","0.50","97159","266","97026","7099988","73.08"
"3","1959","2","0.00132","0.00132","0.50","96893","127","96829","7002962","72.28"
"4","1959","3","0.00042","0.00042","0.50","96765","41","96745","6906133","71.37"
"5","1959","4","0.00042","0.00041","0.50","96724","40","96704","6809388","70.40"
"6","1959","5","0.00053","0.00053","0.50","96684","52","96658","6712684","69.43"
"7","1959","6","0.00075","0.00075","0.50","96633","73","96596","6616026","68.47"
"8","1959","7","0.00022","0.00022","0.50","96560","21","96549","6519430","67.52"
"9","1959","8","0.00110","0.00110","0.50","96539","107","96486","6422880","66.53"
"10","1959","9","0.00044","0.00044","0.50","96432","42","96411","6326395","65.60"
"11","1959","10","0.00054","0.00054","0.50","96390","52","96364","6229984","64.63"
"12","1959","11","0.00055","0.00055","0.50","96338","53","96312","6133619","63.67"
"13","1959","12","0.00069","0.00069","0.50","96285","67","96251","6037308","62.70"
"14","1959","13","0.00063","0.00063","0.50","96218","61","96188","5941056","61.75"
"15","1959","14","0.00070","0.00070","0.50","96157","68","96123","5844869","60.78"
"16","1959","15","0.00071","0.00071","0.50","96089","69","96055","5748746","59.83"
"17","1959","16","0.00040","0.00040","0.50","96021","38","96002","5652691","58.87"
"18","1959","17","0.00111","0.00111","0.50","95983","106","95930","5556689","57.89"
"19","1959","18","0.00064","0.00064","0.50","95877","61","95846","5460759","56.96"
"20","1959","19","0.00097","0.00097","0.50","95816","93","95769","5364913","55.99"
"21","1959","20","0.00132","0.00131","0.50","95723","126","95660","5269143","55.05"
"22","1959","21","0.00166","0.00166","0.50","95597","159","95518","5173483","54.12"
"23","1959","22","0.00097","0.00097","0.50","95439","92","95392","5077965","53.21"
"24","1959","23","0.00151","0.00151","0.50","95346","144","95275","4982573","52.26"
"25","1959","24","0.00085","0.00085","0.50","95203","81","95162","4887298","51.34"
"26","1959","25","0.00104","0.00104","0.50","95122","99","95072","4792135","50.38"
"27","1959","26","0.00145","0.00145","0.50","95023","137","94954","4697063","49.43"
"28","1959","27","0.00120","0.00120","0.50","94885","114","94828","4602109","48.50"
"29","1959","28","0.00143","0.00143","0.50","94772","136","94704","4507281","47.56"
"30","1959","29","0.00090","0.00090","0.50","94636","85","94594","4412577","46.63"
"31","1959","30","0.00104","0.00104","0.50","94551","98","94502","4317983","45.67"
"32","1959","31","0.00131","0.00131","0.50","94453","123","94391","4223481","44.72"
"33","1959","32","0.00198","0.00198","0.50","94330","186","94236","4129090","43.77"
"34","1959","33","0.00151","0.00151","0.50","94143","142","94072","4034854","42.86"
"35","1959","34","0.00129","0.00129","0.50","94001","121","93940","3940782","41.92"
"36","1959","35","0.00220","0.00220","0.50","93880","207","93776","3846842","40.98"
"37","1959","36","0.00169","0.00169","0.50","93673","159","93594","3753065","40.07"
"38","1959","37","0.00154","0.00154","0.50","93514","144","93442","3659471","39.13"
"39","1959","38","0.00172","0.00172","0.50","93370","160","93290","3566029","38.19"
"40","1959","39","0.00145","0.00145","0.50","93210","135","93142","3472739","37.26"
"41","1959","40","0.00259","0.00258","0.50","93075","240","92955","3379596","36.31"
"42","1959","41","0.00286","0.00285","0.50","92835","265","92702","3286642","35.40"
"43","1959","42","0.00374","0.00374","0.50","92570","346","92397","3193939","34.50"
"44","1959","43","0.00305","0.00305","0.50","92224","281","92084","3101542","33.63"
"45","1959","44","0.00399","0.00398","0.50","91943","366","91760","3009458","32.73"
"46","1959","45","0.00267","0.00267","0.50","91577","244","91455","2917698","31.86"
"47","1959","46","0.00337","0.00337","0.50","91333","307","91179","2826243","30.94"
"48","1959","47","0.00471","0.00470","0.50","91025","428","90811","2735064","30.05"
"49","1959","48","0.00490","0.00489","0.50","90597","443","90376","2644253","29.19"
"50","1959","49","0.00460","0.00459","0.50","90155","414","89948","2553877","28.33"
"51","1959","50","0.00500","0.00498","0.50","89741","447","89517","2463929","27.46"
"52","1959","51","0.00498","0.00497","0.50","89294","444","89072","2374412","26.59"
"53","1959","52","0.00488","0.00487","0.50","88850","432","88633","2285340","25.72"
"54","1959","53","0.00866","0.00863","0.50","88417","763","88036","2196707","24.84"
"55","1959","54","0.00467","0.00466","0.50","87655","408","87450","2108671","24.06"
"56","1959","55","0.00597","0.00595","0.50","87246","519","86987","2021221","23.17"
"57","1959","56","0.00800","0.00797","0.50","86727","691","86381","1934234","22.30"
"58","1959","57","0.00694","0.00692","0.50","86036","595","85738","1847853","21.48"
"59","1959","58","0.00890","0.00886","0.50","85440","757","85062","1762115","20.62"
"60","1959","59","0.00901","0.00897","0.50","84684","760","84304","1677053","19.80"
"61","1959","60","0.00922","0.00918","0.50","83924","770","83539","1592749","18.98"
"62","1959","61","0.01122","0.01116","0.50","83154","928","82689","1509211","18.15"
"63","1959","62","0.01316","0.01307","0.50","82225","1075","81688","1426521","17.35"
"64","1959","63","0.01510","0.01499","0.50","81151","1216","80543","1344833","16.57"
"65","1959","64","0.01494","0.01482","0.50","79934","1185","79342","1264291","15.82"
"66","1959","65","0.01721","0.01706","0.50","78749","1344","78077","1184949","15.05"
"67","1959","66","0.01794","0.01778","0.50","77406","1376","76717","1106871","14.30"
"68","1959","67","0.02114","0.02092","0.50","76029","1591","75234","1030154","13.55"
"69","1959","68","0.02845","0.02805","0.50","74438","2088","73394","954920","12.83"
"70","1959","69","0.03061","0.03015","0.50","72350","2181","71260","881526","12.18"
"71","1959","70","0.03778","0.03708","0.50","70169","2602","68869","810266","11.55"
"72","1959","71","0.03159","0.03110","0.50","67568","2101","66517","741397","10.97"
"73","1959","72","0.04424","0.04328","0.50","65467","2833","64050","674880","10.31"
"74","1959","73","0.04843","0.04729","0.50","62633","2962","61152","610830","9.75"
"75","1959","74","0.04841","0.04726","0.50","59671","2820","58261","549678","9.21"
"76","1959","75","0.05740","0.05580","0.50","56851","3172","55265","491417","8.64"
"77","1959","76","0.05573","0.05422","0.50","53679","2910","52224","436152","8.13"
"78","1959","77","0.07272","0.07017","0.50","50769","3562","48987","383928","7.56"
"79","1959","78","0.07337","0.07078","0.50","47206","3341","45535","334941","7.10"
"80","1959","79","0.09118","0.08720","0.50","43865","3825","41952","289406","6.60"
"81","1959","80","0.10548","0.10020","0.50","40040","4012","38034","247453","6.18"
"82","1959","81","0.10482","0.09960","0.50","36028","3588","34234","209419","5.81"
"83","1959","82","0.12601","0.11854","0.50","32440","3845","30517","175185","5.40"
"84","1959","83","0.13797","0.12906","0.50","28594","3691","26749","144668","5.06"
"85","1959","84","0.15185","0.14113","0.50","24904","3515","23146","117919","4.73"
"86","1959","85","0.16686","0.15401","0.50","21389","3294","19742","94773","4.43"
"87","1959","86","0.18303","0.16768","0.50","18095","3034","16578","75031","4.15"
"88","1959","87","0.20039","0.18214","0.50","15061","2743","13689","58453","3.88"
"89","1959","88","0.21896","0.19735","0.50","12318","2431","11102","44764","3.63"
"90","1959","89","0.23873","0.21328","0.50","9887","2109","8832","33662","3.40"
"91","1959","90","0.25970","0.22985","0.50","7778","1788","6884","24829","3.19"
"92","1959","91","0.28183","0.24702","0.50","5990","1480","5250","17945","3.00"
"93","1959","92","0.30506","0.26469","0.50","4511","1194","3914","12695","2.81"
"94","1959","93","0.32933","0.28277","0.50","3317","938","2848","8781","2.65"
"95","1959","94","0.35455","0.30116","0.50","2379","716","2021","5933","2.49"
"96","1959","95","0.38060","0.31975","0.50","1662","532","1397","3913","2.35"
"97","1959","96","0.40736","0.33843","0.50","1131","383","939","2516","2.23"
"98","1959","97","0.43468","0.35707","0.50","748","267","615","1577","2.11"
"99","1959","98","0.46240","0.37557","0.50","481","181","391","962","2.00"
"100","1959","99","0.49036","0.39380","0.50","300","118","241","571","1.90"
"101","1959","100","0.51837","0.41167","0.50","182","75","145","330","1.81"
"102","1959","101","0.54628","0.42908","0.50","107","46","84","186","1.73"
"103","1959","102","0.57389","0.44593","0.50","61","27","48","102","1.66"
