"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1950","0","0.08037","0.07617","0.31","100000","7617","94775","6430574","64.31"
"2","1950","1","0.00716","0.00714","0.50","92383","659","92053","6335799","68.58"
"3","1950","2","0.00322","0.00322","0.50","91723","295","91576","6243746","68.07"
"4","1950","3","0.00207","0.00206","0.50","91428","189","91334","6152170","67.29"
"5","1950","4","0.00169","0.00169","0.50","91240","154","91163","6060836","66.43"
"6","1950","5","0.00127","0.00127","0.50","91086","115","91028","5969673","65.54"
"7","1950","6","0.00127","0.00126","0.50","90971","115","90913","5878645","64.62"
"8","1950","7","0.00112","0.00112","0.50","90856","102","90805","5787732","63.70"
"9","1950","8","0.00079","0.00079","0.50","90754","71","90718","5696927","62.77"
"10","1950","9","0.00092","0.00092","0.50","90682","83","90641","5606209","61.82"
"11","1950","10","0.00071","0.00071","0.50","90599","64","90567","5515568","60.88"
"12","1950","11","0.00090","0.00090","0.50","90535","81","90495","5425001","59.92"
"13","1950","12","0.00095","0.00095","0.50","90454","86","90411","5334506","58.97"
"14","1950","13","0.00074","0.00074","0.50","90368","67","90335","5244095","58.03"
"15","1950","14","0.00112","0.00112","0.50","90301","101","90251","5153761","57.07"
"16","1950","15","0.00149","0.00149","0.50","90201","135","90133","5063510","56.14"
"17","1950","16","0.00155","0.00155","0.50","90066","140","89996","4973376","55.22"
"18","1950","17","0.00185","0.00185","0.50","89926","167","89843","4883380","54.30"
"19","1950","18","0.00182","0.00182","0.50","89760","164","89678","4793537","53.40"
"20","1950","19","0.00165","0.00165","0.50","89596","148","89522","4703860","52.50"
"21","1950","20","0.00241","0.00241","0.50","89448","215","89340","4614338","51.59"
"22","1950","21","0.00205","0.00204","0.50","89233","182","89142","4524997","50.71"
"23","1950","22","0.00197","0.00197","0.50","89050","175","88963","4435856","49.81"
"24","1950","23","0.00205","0.00205","0.50","88875","182","88784","4346893","48.91"
"25","1950","24","0.00235","0.00235","0.50","88693","208","88589","4258109","48.01"
"26","1950","25","0.00239","0.00239","0.50","88485","211","88379","4169520","47.12"
"27","1950","26","0.00224","0.00224","0.50","88273","197","88174","4081141","46.23"
"28","1950","27","0.00250","0.00249","0.50","88076","220","87966","3992967","45.34"
"29","1950","28","0.00264","0.00264","0.50","87856","232","87740","3905001","44.45"
