"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1983","0","0.01334","0.01319","0.12","100000","1319","98842","7652610","76.53"
"2","1983","1","0.00126","0.00125","0.50","98681","124","98619","7553769","76.55"
"3","1983","2","0.00074","0.00074","0.50","98557","73","98521","7455149","75.64"
"4","1983","3","0.00029","0.00029","0.50","98484","29","98470","7356628","74.70"
"5","1983","4","0.00025","0.00025","0.50","98456","25","98443","7258158","73.72"
"6","1983","5","0.00025","0.00025","0.50","98431","24","98419","7159715","72.74"
"7","1983","6","0.00018","0.00018","0.50","98407","17","98398","7061296","71.76"
"8","1983","7","0.00022","0.00022","0.50","98390","21","98379","6962897","70.77"
"9","1983","8","0.00027","0.00027","0.50","98368","26","98355","6864519","69.78"
"10","1983","9","0.00023","0.00023","0.50","98342","23","98331","6766163","68.80"
"11","1983","10","0.00007","0.00007","0.50","98319","7","98316","6667833","67.82"
"12","1983","11","0.00012","0.00012","0.50","98312","12","98306","6569517","66.82"
"13","1983","12","0.00025","0.00025","0.50","98300","24","98288","6471211","65.83"
"14","1983","13","0.00023","0.00023","0.50","98276","23","98265","6372923","64.85"
"15","1983","14","0.00035","0.00035","0.50","98253","34","98236","6274658","63.86"
"16","1983","15","0.00020","0.00020","0.50","98219","19","98209","6176422","62.88"
"17","1983","16","0.00026","0.00026","0.50","98199","26","98187","6078213","61.90"
"18","1983","17","0.00040","0.00040","0.50","98174","40","98154","5980027","60.91"
"19","1983","18","0.00009","0.00009","0.50","98134","9","98130","5881873","59.94"
"20","1983","19","0.00045","0.00045","0.50","98126","44","98103","5783743","58.94"
"21","1983","20","0.00022","0.00022","0.50","98081","21","98071","5685639","57.97"
"22","1983","21","0.00044","0.00044","0.50","98060","43","98038","5587569","56.98"
"23","1983","22","0.00037","0.00037","0.50","98017","36","97999","5489530","56.01"
"24","1983","23","0.00037","0.00037","0.50","97980","36","97962","5391532","55.03"
"25","1983","24","0.00012","0.00012","0.50","97944","12","97938","5293569","54.05"
"26","1983","25","0.00037","0.00037","0.50","97932","36","97914","5195631","53.05"
"27","1983","26","0.00053","0.00053","0.50","97896","52","97870","5097717","52.07"
"28","1983","27","0.00028","0.00028","0.50","97844","27","97831","4999847","51.10"
"29","1983","28","0.00059","0.00059","0.50","97817","58","97788","4902016","50.11"
"30","1983","29","0.00040","0.00040","0.50","97759","39","97739","4804228","49.14"
"31","1983","30","0.00051","0.00051","0.50","97720","50","97695","4706489","48.16"
"32","1983","31","0.00052","0.00052","0.50","97670","51","97644","4608794","47.19"
"33","1983","32","0.00056","0.00056","0.50","97619","54","97592","4511150","46.21"
"34","1983","33","0.00067","0.00067","0.50","97565","65","97532","4413558","45.24"
"35","1983","34","0.00074","0.00074","0.50","97499","72","97463","4316026","44.27"
"36","1983","35","0.00078","0.00078","0.50","97427","76","97389","4218563","43.30"
"37","1983","36","0.00079","0.00079","0.50","97351","77","97313","4121174","42.33"
"38","1983","37","0.00066","0.00066","0.50","97274","64","97242","4023861","41.37"
"39","1983","38","0.00099","0.00099","0.50","97210","96","97162","3926619","40.39"
"40","1983","39","0.00086","0.00086","0.50","97114","84","97072","3829457","39.43"
"41","1983","40","0.00114","0.00114","0.50","97030","111","96975","3732384","38.47"
"42","1983","41","0.00070","0.00070","0.50","96919","68","96885","3635410","37.51"
"43","1983","42","0.00133","0.00132","0.50","96851","128","96787","3538524","36.54"
"44","1983","43","0.00191","0.00190","0.50","96723","184","96631","3441737","35.58"
"45","1983","44","0.00163","0.00163","0.50","96539","157","96461","3345106","34.65"
"46","1983","45","0.00164","0.00164","0.50","96382","158","96303","3248645","33.71"
"47","1983","46","0.00163","0.00163","0.50","96224","157","96145","3152342","32.76"
"48","1983","47","0.00159","0.00159","0.50","96067","153","95991","3056197","31.81"
"49","1983","48","0.00293","0.00293","0.50","95914","281","95774","2960207","30.86"
"50","1983","49","0.00226","0.00226","0.50","95633","216","95525","2864433","29.95"
"51","1983","50","0.00269","0.00268","0.50","95417","256","95289","2768908","29.02"
"52","1983","51","0.00430","0.00429","0.50","95161","409","94957","2673618","28.10"
"53","1983","52","0.00326","0.00325","0.50","94753","308","94599","2578661","27.21"
"54","1983","53","0.00503","0.00502","0.50","94445","474","94208","2484063","26.30"
"55","1983","54","0.00474","0.00473","0.50","93970","444","93748","2389855","25.43"
"56","1983","55","0.00580","0.00579","0.50","93526","541","93255","2296107","24.55"
"57","1983","56","0.00578","0.00576","0.50","92985","536","92717","2202851","23.69"
"58","1983","57","0.00533","0.00531","0.50","92449","491","92204","2110134","22.82"
"59","1983","58","0.00760","0.00757","0.50","91958","696","91610","2017931","21.94"
"60","1983","59","0.00801","0.00798","0.50","91262","728","90898","1926321","21.11"
"61","1983","60","0.00843","0.00839","0.50","90534","760","90154","1835423","20.27"
"62","1983","61","0.01011","0.01006","0.50","89774","903","89322","1745269","19.44"
"63","1983","62","0.00981","0.00976","0.50","88871","868","88437","1655947","18.63"
"64","1983","63","0.01544","0.01532","0.50","88003","1349","87329","1567509","17.81"
"65","1983","64","0.01380","0.01370","0.50","86655","1187","86061","1480180","17.08"
"66","1983","65","0.01961","0.01942","0.50","85468","1660","84638","1394119","16.31"
"67","1983","66","0.01898","0.01880","0.50","83808","1576","83020","1309482","15.62"
"68","1983","67","0.02168","0.02144","0.50","82232","1763","81350","1226462","14.91"
"69","1983","68","0.02050","0.02029","0.50","80469","1633","79652","1145111","14.23"
"70","1983","69","0.02293","0.02267","0.50","78836","1787","77943","1065459","13.51"
"71","1983","70","0.02567","0.02534","0.50","77049","1953","76073","987516","12.82"
"72","1983","71","0.03165","0.03116","0.50","75096","2340","73926","911444","12.14"
"73","1983","72","0.03095","0.03048","0.50","72756","2217","71648","837517","11.51"
"74","1983","73","0.04278","0.04189","0.50","70539","2955","69062","765870","10.86"
"75","1983","74","0.03917","0.03842","0.50","67585","2596","66286","696808","10.31"
"76","1983","75","0.05424","0.05281","0.50","64988","3432","63272","630522","9.70"
"77","1983","76","0.06074","0.05895","0.50","61556","3629","59742","567250","9.22"
"78","1983","77","0.05816","0.05651","0.50","57927","3274","56290","507508","8.76"
"79","1983","78","0.06773","0.06552","0.50","54654","3581","52863","451218","8.26"
"80","1983","79","0.07431","0.07165","0.50","51073","3659","49243","398354","7.80"
