"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1872","0","0.26296","0.22278","0.31","100000","22278","84720","3026454","30.26"
"2","1872","1","0.13614","0.12747","0.50","77722","9907","72769","2941734","37.85"
"3","1872","2","0.09307","0.08893","0.50","67815","6031","64800","2868965","42.31"
"4","1872","3","0.05400","0.05258","0.50","61785","3249","60160","2804165","45.39"
"5","1872","4","0.03515","0.03454","0.50","58536","2022","57525","2744005","46.88"
"6","1872","5","0.02422","0.02393","0.50","56514","1352","55838","2686479","47.54"
"7","1872","6","0.01663","0.01650","0.50","55162","910","54707","2630641","47.69"
"8","1872","7","0.01107","0.01101","0.50","54252","597","53953","2575935","47.48"
"9","1872","8","0.00755","0.00753","0.50","53655","404","53453","2521981","47.00"
"10","1872","9","0.00633","0.00631","0.50","53251","336","53083","2468529","46.36"
"11","1872","10","0.00630","0.00628","0.50","52915","332","52749","2415446","45.65"
"12","1872","11","0.00694","0.00691","0.50","52583","363","52401","2362697","44.93"
"13","1872","12","0.00705","0.00702","0.50","52219","367","52036","2310296","44.24"
"14","1872","13","0.00705","0.00703","0.50","51852","364","51670","2258261","43.55"
"15","1872","14","0.00740","0.00737","0.50","51488","379","51298","2206591","42.86"
"16","1872","15","0.00719","0.00717","0.50","51108","366","50925","2155292","42.17"
"17","1872","16","0.00731","0.00728","0.50","50742","370","50557","2104367","41.47"
"18","1872","17","0.00775","0.00772","0.50","50373","389","50178","2053810","40.77"
"19","1872","18","0.00770","0.00767","0.50","49984","384","49792","2003631","40.09"
"20","1872","19","0.00842","0.00839","0.50","49600","416","49392","1953839","39.39"
"21","1872","20","0.00849","0.00845","0.50","49184","416","48976","1904447","38.72"
"22","1872","21","0.00922","0.00918","0.50","48768","448","48545","1855471","38.05"
"23","1872","22","0.01048","0.01042","0.50","48321","504","48069","1806926","37.39"
"24","1872","23","0.01062","0.01057","0.50","47817","505","47565","1758857","36.78"
"25","1872","24","0.01090","0.01084","0.50","47312","513","47056","1711293","36.17"
"26","1872","25","0.01051","0.01045","0.50","46799","489","46555","1664237","35.56"
"27","1872","26","0.01068","0.01062","0.50","46310","492","46064","1617682","34.93"
"28","1872","27","0.01139","0.01132","0.50","45818","519","45559","1571618","34.30"
"29","1872","28","0.01118","0.01112","0.50","45300","504","45048","1526059","33.69"
"30","1872","29","0.01258","0.01251","0.50","44796","560","44516","1481011","33.06"
"31","1872","30","0.00964","0.00960","0.50","44236","424","44023","1436496","32.47"
"32","1872","31","0.01007","0.01002","0.50","43811","439","43592","1392472","31.78"
"33","1872","32","0.01363","0.01354","0.50","43372","587","43079","1348881","31.10"
"34","1872","33","0.01298","0.01289","0.50","42785","552","42509","1305802","30.52"
"35","1872","34","0.01333","0.01324","0.50","42233","559","41954","1263293","29.91"
"36","1872","35","0.01173","0.01166","0.50","41674","486","41431","1221339","29.31"
"37","1872","36","0.01130","0.01124","0.50","41188","463","40957","1179908","28.65"
"38","1872","37","0.01304","0.01296","0.50","40725","528","40461","1138951","27.97"
"39","1872","38","0.01357","0.01348","0.50","40198","542","39927","1098490","27.33"
"40","1872","39","0.01527","0.01515","0.50","39656","601","39355","1058563","26.69"
"41","1872","40","0.00932","0.00928","0.50","39055","362","38873","1019208","26.10"
"42","1872","41","0.00969","0.00965","0.50","38692","373","38506","980335","25.34"
"43","1872","42","0.01534","0.01522","0.50","38319","583","38027","941829","24.58"
"44","1872","43","0.01502","0.01491","0.50","37736","563","37454","903802","23.95"
"45","1872","44","0.01544","0.01532","0.50","37173","570","36888","866347","23.31"
"46","1872","45","0.01225","0.01218","0.50","36604","446","36381","829459","22.66"
"47","1872","46","0.01244","0.01237","0.50","36158","447","35934","793078","21.93"
"48","1872","47","0.01545","0.01533","0.50","35711","547","35437","757144","21.20"
"49","1872","48","0.01551","0.01539","0.50","35163","541","34893","721707","20.52"
"50","1872","49","0.01752","0.01737","0.50","34622","601","34322","686814","19.84"
"51","1872","50","0.01080","0.01074","0.50","34021","366","33838","652493","19.18"
"52","1872","51","0.01189","0.01182","0.50","33655","398","33456","618655","18.38"
"53","1872","52","0.02135","0.02112","0.50","33257","702","32906","585198","17.60"
"54","1872","53","0.02263","0.02237","0.50","32555","728","32191","552292","16.96"
"55","1872","54","0.02449","0.02419","0.50","31827","770","31442","520101","16.34"
"56","1872","55","0.02165","0.02142","0.50","31057","665","30724","488660","15.73"
"57","1872","56","0.02260","0.02234","0.50","30391","679","30052","457936","15.07"
"58","1872","57","0.02871","0.02830","0.50","29712","841","29292","427884","14.40"
"59","1872","58","0.03191","0.03141","0.50","28871","907","28418","398592","13.81"
"60","1872","59","0.03822","0.03750","0.50","27965","1049","27440","370174","13.24"
"61","1872","60","0.02013","0.01993","0.50","26916","537","26648","342734","12.73"
"62","1872","61","0.02268","0.02242","0.50","26379","592","26084","316086","11.98"
"63","1872","62","0.04951","0.04831","0.50","25788","1246","25165","290002","11.25"
"64","1872","63","0.05218","0.05085","0.50","24542","1248","23918","264837","10.79"
"65","1872","64","0.05595","0.05443","0.50","23294","1268","22660","240919","10.34"
"66","1872","65","0.04846","0.04731","0.50","22026","1042","21505","218259","9.91"
"67","1872","66","0.05242","0.05108","0.50","20984","1072","20448","196754","9.38"
"68","1872","67","0.07008","0.06770","0.50","19912","1348","19238","176306","8.85"
"69","1872","68","0.07862","0.07565","0.50","18564","1404","17862","157068","8.46"
"70","1872","69","0.09251","0.08842","0.50","17160","1517","16401","139207","8.11"
"71","1872","70","0.04995","0.04873","0.50","15642","762","15261","122806","7.85"
"72","1872","71","0.05205","0.05073","0.50","14880","755","14503","107544","7.23"
"73","1872","72","0.10421","0.09905","0.50","14125","1399","13426","93042","6.59"
"74","1872","73","0.11892","0.11225","0.50","12726","1428","12012","79616","6.26"
"75","1872","74","0.13629","0.12760","0.50","11298","1442","10577","67604","5.98"
"76","1872","75","0.12072","0.11385","0.50","9856","1122","9295","57027","5.79"
"77","1872","76","0.12546","0.11806","0.50","8734","1031","8218","47732","5.47"
"78","1872","77","0.17114","0.15765","0.50","7703","1214","7096","39514","5.13"
"79","1872","78","0.17485","0.16079","0.50","6488","1043","5967","32418","5.00"
"80","1872","79","0.19369","0.17659","0.50","5445","962","4964","26452","4.86"
"81","1872","80","0.15545","0.14424","0.50","4484","647","4160","21487","4.79"
"82","1872","81","0.16848","0.15539","0.50","3837","596","3539","17327","4.52"
"83","1872","82","0.18126","0.16620","0.50","3241","539","2971","13788","4.25"
"84","1872","83","0.19525","0.17788","0.50","2702","481","2462","10817","4.00"
"85","1872","84","0.21049","0.19045","0.50","2221","423","2010","8355","3.76"
"86","1872","85","0.22747","0.20424","0.50","1798","367","1615","6345","3.53"
"87","1872","86","0.24693","0.21980","0.50","1431","315","1274","4730","3.31"
"88","1872","87","0.26876","0.23692","0.50","1117","265","984","3456","3.10"
"89","1872","88","0.29164","0.25453","0.50","852","217","744","2472","2.90"
"90","1872","89","0.31569","0.27265","0.50","635","173","549","1729","2.72"
"91","1872","90","0.34288","0.29270","0.50","462","135","394","1180","2.55"
"92","1872","91","0.37042","0.31254","0.50","327","102","276","786","2.40"
"93","1872","92","0.39781","0.33181","0.50","225","75","187","510","2.27"
"94","1872","93","0.42994","0.35387","0.50","150","53","124","323","2.15"
"95","1872","94","0.46455","0.37699","0.50","97","37","79","199","2.05"
"96","1872","95","0.46630","0.37814","0.50","60","23","49","120","1.99"
"97","1872","96","0.49263","0.39527","0.50","38","15","30","71","1.90"
"98","1872","97","0.51901","0.41207","0.50","23","9","18","41","1.82"
"99","1872","98","0.54527","0.42846","0.50","13","6","10","23","1.74"
"100","1872","99","0.57129","0.44436","0.50","8","3","6","13","1.67"
"101","1872","100","0.59691","0.45971","0.50","4","2","3","7","1.61"
"102","1872","101","0.62202","0.47446","0.50","2","1","2","4","1.55"
"103","1872","102","0.64649","0.48857","0.50","1","1","1","2","1.50"
"104","1872","103","0.67022","0.50200","0.50","1","0","0","1","1.45"
"105","1872","104","0.69311","0.51473","0.50","0","0","0","0","1.41"
"106","1872","105","0.71509","0.52675","0.50","0","0","0","0","1.37"
"107","1872","106","0.73609","0.53806","0.50","0","0","0","0","1.33"
"108","1872","107","0.75607","0.54866","0.50","0","0","0","0","1.30"
"109","1872","108","0.77500","0.55856","0.50","0","0","0","0","1.27"
"110","1872","109","0.79287","0.56778","0.50","0","0","0","0","1.25"
"111","1872","110+","0.80966","1.00000","1.24","0","0","0","0","1.24"
"112","1873","0","0.23050","0.19904","0.31","100000","19904","86348","3184141","31.84"
"113","1873","1","0.10500","0.09976","0.50","80096","7991","76101","3097793","38.68"
"114","1873","2","0.09418","0.08995","0.50","72106","6486","68863","3021692","41.91"
"115","1873","3","0.05978","0.05804","0.50","65620","3809","63716","2952829","45.00"
"116","1873","4","0.03387","0.03330","0.50","61811","2059","60782","2889113","46.74"
"117","1873","5","0.02355","0.02327","0.50","59753","1391","59057","2828331","47.33"
"118","1873","6","0.01607","0.01594","0.50","58362","930","57897","2769273","47.45"
"119","1873","7","0.01056","0.01051","0.50","57432","603","57130","2711377","47.21"
"120","1873","8","0.00710","0.00707","0.50","56828","402","56628","2654246","46.71"
"121","1873","9","0.00561","0.00559","0.50","56427","316","56269","2597619","46.04"
"122","1873","10","0.00601","0.00600","0.50","56111","336","55943","2541350","45.29"
"123","1873","11","0.00630","0.00628","0.50","55775","350","55599","2485407","44.56"
"124","1873","12","0.00684","0.00682","0.50","55424","378","55235","2429808","43.84"
"125","1873","13","0.00689","0.00687","0.50","55046","378","54857","2374573","43.14"
"126","1873","14","0.00685","0.00683","0.50","54668","373","54482","2319715","42.43"
"127","1873","15","0.00713","0.00711","0.50","54295","386","54102","2265234","41.72"
"128","1873","16","0.00708","0.00705","0.50","53909","380","53719","2211132","41.02"
"129","1873","17","0.00734","0.00731","0.50","53529","391","53333","2157412","40.30"
"130","1873","18","0.00791","0.00788","0.50","53138","418","52928","2104079","39.60"
"131","1873","19","0.00803","0.00799","0.50","52719","421","52509","2051151","38.91"
"132","1873","20","0.00886","0.00882","0.50","52298","461","52067","1998642","38.22"
"133","1873","21","0.00890","0.00886","0.50","51837","459","51607","1946575","37.55"
"134","1873","22","0.00951","0.00947","0.50","51377","486","51134","1894968","36.88"
"135","1873","23","0.01054","0.01048","0.50","50891","534","50624","1843834","36.23"
"136","1873","24","0.01051","0.01046","0.50","50357","527","50094","1793209","35.61"
"137","1873","25","0.01059","0.01053","0.50","49831","525","49568","1743115","34.98"
"138","1873","26","0.01016","0.01011","0.50","49306","499","49057","1693547","34.35"
"139","1873","27","0.01028","0.01022","0.50","48807","499","48558","1644490","33.69"
"140","1873","28","0.01092","0.01086","0.50","48308","524","48046","1595932","33.04"
"141","1873","29","0.01082","0.01076","0.50","47784","514","47527","1547886","32.39"
"142","1873","30","0.01219","0.01212","0.50","47270","573","46983","1500359","31.74"
"143","1873","31","0.00967","0.00963","0.50","46697","449","46472","1453376","31.12"
"144","1873","32","0.01025","0.01020","0.50","46247","472","46011","1406904","30.42"
"145","1873","33","0.01357","0.01348","0.50","45776","617","45467","1360892","29.73"
"146","1873","34","0.01310","0.01302","0.50","45159","588","44865","1315425","29.13"
"147","1873","35","0.01354","0.01345","0.50","44571","599","44271","1270560","28.51"
"148","1873","36","0.01218","0.01211","0.50","43971","532","43705","1226289","27.89"
"149","1873","37","0.01184","0.01177","0.50","43439","511","43183","1182584","27.22"
"150","1873","38","0.01358","0.01349","0.50","42927","579","42638","1139401","26.54"
"151","1873","39","0.01419","0.01409","0.50","42348","597","42050","1096763","25.90"
"152","1873","40","0.01589","0.01576","0.50","41752","658","41423","1054713","25.26"
"153","1873","41","0.01014","0.01009","0.50","41094","415","40887","1013290","24.66"
"154","1873","42","0.01065","0.01059","0.50","40679","431","40464","972404","23.90"
"155","1873","43","0.01617","0.01604","0.50","40248","646","39925","931940","23.15"
"156","1873","44","0.01594","0.01582","0.50","39603","626","39289","892014","22.52"
"157","1873","45","0.01646","0.01632","0.50","38976","636","38658","852725","21.88"
"158","1873","46","0.01361","0.01352","0.50","38340","518","38081","814067","21.23"
"159","1873","47","0.01404","0.01395","0.50","37822","527","37558","775986","20.52"
"160","1873","48","0.01736","0.01721","0.50","37294","642","36973","738428","19.80"
"161","1873","49","0.01768","0.01753","0.50","36653","642","36331","701454","19.14"
"162","1873","50","0.01992","0.01972","0.50","36010","710","35655","665123","18.47"
"163","1873","51","0.01262","0.01254","0.50","35300","443","35079","629468","17.83"
"164","1873","52","0.01376","0.01367","0.50","34857","476","34619","594389","17.05"
"165","1873","53","0.02312","0.02286","0.50","34381","786","33988","559770","16.28"
"166","1873","54","0.02416","0.02387","0.50","33595","802","33194","525782","15.65"
"167","1873","55","0.02605","0.02571","0.50","32793","843","32372","492588","15.02"
"168","1873","56","0.02410","0.02381","0.50","31950","761","31570","460216","14.40"
"169","1873","57","0.02577","0.02545","0.50","31189","794","30792","428647","13.74"
"170","1873","58","0.03293","0.03240","0.50","30396","985","29903","397855","13.09"
"171","1873","59","0.03724","0.03656","0.50","29411","1075","28873","367951","12.51"
"172","1873","60","0.04487","0.04389","0.50","28336","1244","27714","339078","11.97"
"173","1873","61","0.02468","0.02438","0.50","27092","661","26762","311364","11.49"
"174","1873","62","0.02785","0.02746","0.50","26431","726","26069","284603","10.77"
"175","1873","63","0.05764","0.05602","0.50","25706","1440","24986","258534","10.06"
"176","1873","64","0.06110","0.05928","0.50","24265","1439","23546","233548","9.62"
"177","1873","65","0.06611","0.06400","0.50","22827","1461","22096","210002","9.20"
"178","1873","66","0.05883","0.05715","0.50","21366","1221","20756","187906","8.79"
"179","1873","67","0.06409","0.06210","0.50","20145","1251","19520","167150","8.30"
"180","1873","68","0.08484","0.08139","0.50","18894","1538","18125","147631","7.81"
"181","1873","69","0.09488","0.09058","0.50","17356","1572","16570","129506","7.46"
"182","1873","70","0.11089","0.10506","0.50","15784","1658","14955","112935","7.16"
"183","1873","71","0.06029","0.05852","0.50","14126","827","13712","97980","6.94"
"184","1873","72","0.06237","0.06048","0.50","13299","804","12897","84268","6.34"
"185","1873","73","0.12289","0.11578","0.50","12495","1447","11771","71371","5.71"
"186","1873","74","0.14348","0.13388","0.50","11048","1479","10308","59600","5.39"
"187","1873","75","0.18551","0.16977","0.50","9569","1624","8757","49291","5.15"
"188","1873","76","0.14991","0.13945","0.50","7944","1108","7391","40535","5.10"
"189","1873","77","0.15539","0.14419","0.50","6837","986","6344","33144","4.85"
"190","1873","78","0.21293","0.19244","0.50","5851","1126","5288","26800","4.58"
"191","1873","79","0.21589","0.19486","0.50","4725","921","4265","21513","4.55"
"192","1873","80","0.17182","0.15823","0.50","3804","602","3503","17248","4.53"
"193","1873","81","0.18668","0.17074","0.50","3202","547","2929","13745","4.29"
"194","1873","82","0.20068","0.18238","0.50","2656","484","2413","10816","4.07"
"195","1873","83","0.21349","0.19290","0.50","2171","419","1962","8402","3.87"
"196","1873","84","0.22707","0.20392","0.50","1752","357","1574","6441","3.68"
"197","1873","85","0.24135","0.21537","0.50","1395","300","1245","4867","3.49"
"198","1873","86","0.25688","0.22764","0.50","1095","249","970","3622","3.31"
