"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1947","0","0.08360","0.07906","0.31","100000","7906","94577","5368932","53.69"
"2","1947","1","0.03564","0.03502","0.50","92094","3225","90481","5274355","57.27"
"3","1947","2","0.01727","0.01712","0.50","88869","1522","88108","5183874","58.33"
"4","1947","3","0.01123","0.01116","0.50","87347","975","86859","5095766","58.34"
"5","1947","4","0.00702","0.00700","0.50","86372","604","86070","5008906","57.99"
"6","1947","5","0.00483","0.00482","0.50","85767","413","85561","4922837","57.40"
"7","1947","6","0.00367","0.00367","0.50","85354","313","85198","4837276","56.67"
"8","1947","7","0.00287","0.00287","0.50","85041","244","84919","4752078","55.88"
"9","1947","8","0.00222","0.00222","0.50","84797","188","84703","4667159","55.04"
"10","1947","9","0.00202","0.00201","0.50","84609","170","84524","4582456","54.16"
"11","1947","10","0.00183","0.00183","0.50","84439","155","84361","4497932","53.27"
"12","1947","11","0.00170","0.00170","0.50","84284","143","84213","4413571","52.37"
"13","1947","12","0.00185","0.00185","0.50","84141","155","84063","4329358","51.45"
"14","1947","13","0.00190","0.00190","0.50","83986","159","83906","4245295","50.55"
"15","1947","14","0.00237","0.00237","0.50","83826","199","83727","4161389","49.64"
"16","1947","15","0.00322","0.00322","0.50","83628","269","83493","4077662","48.76"
"17","1947","16","0.00360","0.00359","0.50","83359","300","83209","3994168","47.92"
"18","1947","17","0.00449","0.00448","0.50","83059","372","82873","3910960","47.09"
"19","1947","18","0.00523","0.00522","0.50","82687","431","82471","3828087","46.30"
"20","1947","19","0.00632","0.00630","0.50","82255","518","81997","3745616","45.54"
"21","1947","20","0.00697","0.00695","0.50","81738","568","81454","3663619","44.82"
"22","1947","21","0.00734","0.00732","0.50","81170","594","80873","3582166","44.13"
"23","1947","22","0.00734","0.00731","0.50","80576","589","80281","3501293","43.45"
"24","1947","23","0.00780","0.00777","0.50","79987","621","79676","3421012","42.77"
"25","1947","24","0.00786","0.00783","0.50","79365","622","79054","3341336","42.10"
"26","1947","25","0.00758","0.00756","0.50","78744","595","78446","3262281","41.43"
"27","1947","26","0.00739","0.00736","0.50","78149","575","77861","3183835","40.74"
"28","1947","27","0.00717","0.00715","0.50","77573","554","77296","3105974","40.04"
"29","1947","28","0.00724","0.00722","0.50","77019","556","76741","3028678","39.32"
"30","1947","29","0.00729","0.00726","0.50","76463","555","76186","2951937","38.61"
"31","1947","30","0.00722","0.00719","0.50","75908","546","75635","2875752","37.88"
"32","1947","31","0.00701","0.00699","0.50","75362","527","75099","2800117","37.16"
