"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1947","0","0.09545","0.08946","0.30","100000","8946","93730","4982789","49.83"
"2","1947","1","0.03702","0.03634","0.50","91054","3309","89399","4889059","53.69"
"3","1947","2","0.01720","0.01706","0.50","87744","1497","86996","4799660","54.70"
"4","1947","3","0.01133","0.01127","0.50","86248","972","85762","4712664","54.64"
"5","1947","4","0.00747","0.00744","0.50","85276","634","84959","4626902","54.26"
"6","1947","5","0.00511","0.00510","0.50","84642","431","84426","4541943","53.66"
"7","1947","6","0.00393","0.00392","0.50","84210","330","84045","4457517","52.93"
"8","1947","7","0.00333","0.00332","0.50","83880","279","83740","4373472","52.14"
"9","1947","8","0.00250","0.00249","0.50","83601","208","83497","4289732","51.31"
"10","1947","9","0.00222","0.00221","0.50","83393","185","83300","4206235","50.44"
"11","1947","10","0.00200","0.00200","0.50","83208","167","83125","4122935","49.55"
"12","1947","11","0.00174","0.00174","0.50","83041","144","82969","4039810","48.65"
"13","1947","12","0.00173","0.00173","0.50","82897","143","82825","3956841","47.73"
"14","1947","13","0.00181","0.00181","0.50","82754","150","82679","3874015","46.81"
"15","1947","14","0.00205","0.00205","0.50","82604","169","82519","3791336","45.90"
"16","1947","15","0.00272","0.00272","0.50","82435","224","82323","3708817","44.99"
"17","1947","16","0.00317","0.00317","0.50","82211","260","82081","3626494","44.11"
"18","1947","17","0.00424","0.00423","0.50","81951","347","81777","3544413","43.25"
"19","1947","18","0.00541","0.00540","0.50","81604","440","81384","3462636","42.43"
"20","1947","19","0.00685","0.00682","0.50","81164","554","80887","3381252","41.66"
"21","1947","20","0.00757","0.00754","0.50","80610","608","80306","3300366","40.94"
"22","1947","21","0.00834","0.00831","0.50","80002","665","79670","3220060","40.25"
"23","1947","22","0.00877","0.00873","0.50","79338","692","78991","3140390","39.58"
"24","1947","23","0.00920","0.00916","0.50","78645","720","78285","3061398","38.93"
"25","1947","24","0.00918","0.00914","0.50","77925","712","77569","2983113","38.28"
"26","1947","25","0.00902","0.00898","0.50","77213","694","76866","2905545","37.63"
"27","1947","26","0.00895","0.00891","0.50","76519","682","76178","2828679","36.97"
"28","1947","27","0.00865","0.00861","0.50","75837","653","75511","2752501","36.29"
"29","1947","28","0.00834","0.00831","0.50","75184","625","74872","2676990","35.61"
"30","1947","29","0.00846","0.00843","0.50","74559","628","74245","2602119","34.90"
"31","1947","30","0.00808","0.00805","0.50","73931","595","73633","2527873","34.19"
"32","1947","31","0.00800","0.00796","0.50","73336","584","73044","2454240","33.47"
"33","1947","32","0.00849","0.00846","0.50","72752","615","72444","2381196","32.73"
"34","1947","33","0.00847","0.00843","0.50","72137","608","71833","2308752","32.01"
"35","1947","34","0.00834","0.00831","0.50","71528","594","71231","2236919","31.27"
"36","1947","35","0.00842","0.00839","0.50","70934","595","70637","2165688","30.53"
"37","1947","36","0.00844","0.00840","0.50","70339","591","70044","2095051","29.78"
"38","1947","37","0.00880","0.00876","0.50","69748","611","69443","2025007","29.03"
"39","1947","38","0.00875","0.00871","0.50","69137","602","68836","1955564","28.29"
"40","1947","39","0.00882","0.00878","0.50","68535","602","68234","1886728","27.53"
"41","1947","40","0.00905","0.00901","0.50","67933","612","67627","1818495","26.77"
"42","1947","41","0.00940","0.00936","0.50","67321","630","67006","1750868","26.01"
"43","1947","42","0.00971","0.00966","0.50","66691","644","66369","1683862","25.25"
"44","1947","43","0.01024","0.01019","0.50","66046","673","65710","1617494","24.49"
"45","1947","44","0.01080","0.01074","0.50","65374","702","65022","1551784","23.74"
"46","1947","45","0.01105","0.01099","0.50","64671","711","64316","1486761","22.99"
"47","1947","46","0.01154","0.01148","0.50","63961","734","63593","1422445","22.24"
"48","1947","47","0.01232","0.01225","0.50","63226","774","62839","1358852","21.49"
"49","1947","48","0.01297","0.01289","0.50","62452","805","62050","1296013","20.75"
"50","1947","49","0.01439","0.01429","0.50","61647","881","61207","1233963","20.02"
"51","1947","50","0.01458","0.01448","0.50","60766","880","60326","1172756","19.30"
"52","1947","51","0.01623","0.01610","0.50","59887","964","59405","1112430","18.58"
"53","1947","52","0.01745","0.01730","0.50","58922","1020","58413","1053025","17.87"
"54","1947","53","0.01917","0.01898","0.50","57903","1099","57353","994612","17.18"
"55","1947","54","0.02037","0.02016","0.50","56804","1145","56231","937259","16.50"
"56","1947","55","0.02133","0.02111","0.50","55658","1175","55071","881028","15.83"
"57","1947","56","0.02291","0.02265","0.50","54483","1234","53866","825957","15.16"
"58","1947","57","0.02640","0.02605","0.50","53249","1387","52556","772091","14.50"
