"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1959","0","0.06056","0.05785","0.23","100000","5785","95521","6437421","64.37"
"2","1959","1","0.00392","0.00391","0.50","94215","368","94031","6341900","67.31"
"3","1959","2","0.00237","0.00236","0.50","93847","222","93736","6247870","66.58"
"4","1959","3","0.00130","0.00130","0.50","93625","122","93564","6154134","65.73"
"5","1959","4","0.00127","0.00127","0.50","93503","118","93444","6060570","64.82"
"6","1959","5","0.00108","0.00108","0.50","93384","101","93334","5967127","63.90"
"7","1959","6","0.00123","0.00123","0.50","93283","114","93226","5873793","62.97"
"8","1959","7","0.00085","0.00085","0.50","93169","79","93129","5780567","62.04"
"9","1959","8","0.00100","0.00100","0.50","93090","93","93043","5687437","61.10"
"10","1959","9","0.00081","0.00081","0.50","92997","75","92959","5594394","60.16"
"11","1959","10","0.00128","0.00128","0.50","92922","119","92863","5501434","59.20"
"12","1959","11","0.00087","0.00087","0.50","92803","81","92763","5408572","58.28"
"13","1959","12","0.00055","0.00055","0.50","92722","51","92697","5315809","57.33"
"14","1959","13","0.00067","0.00067","0.50","92671","62","92640","5223112","56.36"
"15","1959","14","0.00166","0.00166","0.50","92609","153","92532","5130472","55.40"
"16","1959","15","0.00129","0.00129","0.50","92456","120","92396","5037940","54.49"
"17","1959","16","0.00125","0.00125","0.50","92336","116","92278","4945544","53.56"
"18","1959","17","0.00136","0.00136","0.50","92220","126","92157","4853266","52.63"
"19","1959","18","0.00228","0.00228","0.50","92095","210","91990","4761109","51.70"
"20","1959","19","0.00254","0.00254","0.50","91884","233","91768","4669119","50.82"
"21","1959","20","0.00202","0.00202","0.50","91651","185","91559","4577351","49.94"
"22","1959","21","0.00227","0.00227","0.50","91466","208","91362","4485792","49.04"
"23","1959","22","0.00237","0.00236","0.50","91258","216","91151","4394430","48.15"
"24","1959","23","0.00232","0.00231","0.50","91043","211","90937","4303279","47.27"
"25","1959","24","0.00244","0.00244","0.50","90832","221","90721","4212342","46.38"
"26","1959","25","0.00234","0.00234","0.50","90611","212","90505","4121621","45.49"
"27","1959","26","0.00251","0.00250","0.50","90399","226","90286","4031116","44.59"
"28","1959","27","0.00306","0.00306","0.50","90172","276","90034","3940830","43.70"
"29","1959","28","0.00288","0.00288","0.50","89896","258","89767","3850796","42.84"
"30","1959","29","0.00309","0.00308","0.50","89638","276","89500","3761029","41.96"
"31","1959","30","0.00343","0.00342","0.50","89362","306","89209","3671529","41.09"
"32","1959","31","0.00237","0.00237","0.50","89056","211","88950","3582320","40.23"
"33","1959","32","0.00345","0.00344","0.50","88845","306","88692","3493370","39.32"
"34","1959","33","0.00333","0.00333","0.50","88539","295","88392","3404678","38.45"
"35","1959","34","0.00305","0.00305","0.50","88244","269","88110","3316286","37.58"
"36","1959","35","0.00392","0.00391","0.50","87975","344","87803","3228177","36.69"
"37","1959","36","0.00397","0.00396","0.50","87631","347","87457","3140373","35.84"
"38","1959","37","0.00388","0.00387","0.50","87284","338","87115","3052916","34.98"
"39","1959","38","0.00407","0.00406","0.50","86946","353","86769","2965801","34.11"
"40","1959","39","0.00409","0.00408","0.50","86593","353","86416","2879032","33.25"
"41","1959","40","0.00527","0.00526","0.50","86239","453","86013","2792616","32.38"
"42","1959","41","0.00326","0.00325","0.50","85786","279","85646","2706603","31.55"
"43","1959","42","0.00439","0.00438","0.50","85507","375","85320","2620957","30.65"
"44","1959","43","0.00524","0.00522","0.50","85132","445","84910","2535637","29.78"
"45","1959","44","0.00553","0.00551","0.50","84687","467","84454","2450727","28.94"
"46","1959","45","0.00568","0.00567","0.50","84221","477","83982","2366273","28.10"
"47","1959","46","0.00652","0.00650","0.50","83743","545","83471","2282291","27.25"
"48","1959","47","0.00621","0.00619","0.50","83199","515","82941","2198820","26.43"
"49","1959","48","0.00707","0.00705","0.50","82684","583","82392","2115879","25.59"
"50","1959","49","0.00640","0.00638","0.50","82101","524","81839","2033487","24.77"
"51","1959","50","0.00847","0.00844","0.50","81577","688","81233","1951648","23.92"
"52","1959","51","0.00738","0.00735","0.50","80889","595","80591","1870415","23.12"
"53","1959","52","0.01069","0.01063","0.50","80294","854","79867","1789824","22.29"
"54","1959","53","0.01055","0.01050","0.50","79440","834","79023","1709957","21.53"
"55","1959","54","0.01370","0.01361","0.50","78606","1070","78071","1630934","20.75"
"56","1959","55","0.01199","0.01191","0.50","77536","924","77075","1552863","20.03"
"57","1959","56","0.01369","0.01360","0.50","76613","1042","76092","1475789","19.26"
"58","1959","57","0.01604","0.01591","0.50","75571","1203","74969","1399697","18.52"
"59","1959","58","0.01967","0.01947","0.50","74368","1448","73644","1324728","17.81"
"60","1959","59","0.01892","0.01874","0.50","72920","1366","72237","1251084","17.16"
"61","1959","60","0.02237","0.02213","0.50","71553","1583","70762","1178847","16.48"
"62","1959","61","0.02192","0.02168","0.50","69970","1517","69212","1108086","15.84"
"63","1959","62","0.02355","0.02328","0.50","68453","1594","67656","1038874","15.18"
"64","1959","63","0.02898","0.02856","0.50","66860","1910","65905","971218","14.53"
"65","1959","64","0.02863","0.02823","0.50","64950","1833","64033","905313","13.94"
"66","1959","65","0.03197","0.03146","0.50","63117","1986","62124","841279","13.33"
"67","1959","66","0.02880","0.02839","0.50","61131","1736","60263","779156","12.75"
"68","1959","67","0.03683","0.03617","0.50","59395","2148","58321","718893","12.10"
"69","1959","68","0.03733","0.03665","0.50","57247","2098","56198","660572","11.54"
