"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1850","0","0.20385","0.17884","0.31","100000","17884","87733","4080229","40.80"
"2","1850","1","0.06409","0.06210","0.50","82116","5099","79566","3992496","48.62"
"3","1850","2","0.03214","0.03163","0.50","77017","2436","75799","3912930","50.81"
"4","1850","3","0.01905","0.01887","0.50","74581","1407","73877","3837131","51.45"
"5","1850","4","0.01387","0.01378","0.50","73174","1008","72670","3763254","51.43"
"6","1850","5","0.01173","0.01166","0.50","72166","842","71745","3690584","51.14"
"7","1850","6","0.00921","0.00917","0.50","71324","654","70997","3618839","50.74"
"8","1850","7","0.00792","0.00789","0.50","70670","558","70391","3547842","50.20"
"9","1850","8","0.00720","0.00718","0.50","70112","503","69861","3477451","49.60"
"10","1850","9","0.00639","0.00637","0.50","69609","443","69388","3407590","48.95"
"11","1850","10","0.00573","0.00571","0.50","69166","395","68968","3338202","48.26"
"12","1850","11","0.00521","0.00520","0.50","68771","357","68592","3269234","47.54"
"13","1850","12","0.00460","0.00459","0.50","68414","314","68257","3200641","46.78"
"14","1850","13","0.00451","0.00450","0.50","68099","306","67946","3132385","46.00"
"15","1850","14","0.00551","0.00550","0.50","67793","373","67607","3064438","45.20"
"16","1850","15","0.00578","0.00577","0.50","67421","389","67226","2996831","44.45"
"17","1850","16","0.00516","0.00515","0.50","67032","345","66859","2929605","43.70"
"18","1850","17","0.00600","0.00598","0.50","66687","399","66487","2862746","42.93"
"19","1850","18","0.00661","0.00658","0.50","66288","436","66070","2796259","42.18"
"20","1850","19","0.00664","0.00662","0.50","65851","436","65633","2730190","41.46"
"21","1850","20","0.00703","0.00700","0.50","65415","458","65186","2664556","40.73"
"22","1850","21","0.00663","0.00660","0.50","64957","429","64743","2599370","40.02"
"23","1850","22","0.00829","0.00826","0.50","64528","533","64262","2534627","39.28"
"24","1850","23","0.00770","0.00767","0.50","63995","491","63750","2470365","38.60"
"25","1850","24","0.00735","0.00732","0.50","63505","465","63272","2406615","37.90"
"26","1850","25","0.00886","0.00882","0.50","63040","556","62762","2343343","37.17"
"27","1850","26","0.00887","0.00883","0.50","62484","552","62208","2280582","36.50"
"28","1850","27","0.00983","0.00978","0.50","61932","606","61629","2218374","35.82"
"29","1850","28","0.01115","0.01109","0.50","61326","680","60986","2156745","35.17"
"30","1850","29","0.01121","0.01115","0.50","60646","676","60308","2095758","34.56"
"31","1850","30","0.01011","0.01006","0.50","59970","603","59669","2035450","33.94"
"32","1850","31","0.01074","0.01068","0.50","59367","634","59050","1975782","33.28"
"33","1850","32","0.01290","0.01281","0.50","58733","753","58357","1916732","32.63"
"34","1850","33","0.01262","0.01254","0.50","57980","727","57617","1858375","32.05"
"35","1850","34","0.01262","0.01254","0.50","57253","718","56894","1800758","31.45"
"36","1850","35","0.01159","0.01152","0.50","56535","652","56209","1743864","30.85"
"37","1850","36","0.01190","0.01183","0.50","55884","661","55553","1687655","30.20"
"38","1850","37","0.01286","0.01278","0.50","55222","706","54870","1632102","29.56"
"39","1850","38","0.01438","0.01427","0.50","54517","778","54127","1577232","28.93"
"40","1850","39","0.01388","0.01378","0.50","53738","741","53368","1523105","28.34"
"41","1850","40","0.01390","0.01381","0.50","52998","732","52632","1469737","27.73"
"42","1850","41","0.01373","0.01364","0.50","52266","713","51910","1417105","27.11"
"43","1850","42","0.01463","0.01453","0.50","51553","749","51179","1365195","26.48"
"44","1850","43","0.01333","0.01324","0.50","50804","672","50468","1314017","25.86"
"45","1850","44","0.01198","0.01191","0.50","50132","597","49833","1263549","25.20"
"46","1850","45","0.01389","0.01379","0.50","49535","683","49193","1213715","24.50"
"47","1850","46","0.01348","0.01339","0.50","48852","654","48525","1164522","23.84"
"48","1850","47","0.01350","0.01341","0.50","48198","646","47875","1115997","23.15"
"49","1850","48","0.01405","0.01396","0.50","47551","664","47220","1068123","22.46"
"50","1850","49","0.01373","0.01364","0.50","46888","639","46568","1020903","21.77"
"51","1850","50","0.01371","0.01362","0.50","46248","630","45933","974335","21.07"
"52","1850","51","0.01539","0.01527","0.50","45619","697","45270","928402","20.35"
"53","1850","52","0.01788","0.01772","0.50","44922","796","44524","883132","19.66"
"54","1850","53","0.01731","0.01716","0.50","44126","757","43747","838608","19.00"
"55","1850","54","0.01775","0.01759","0.50","43369","763","42987","794861","18.33"
"56","1850","55","0.01807","0.01791","0.50","42606","763","42224","751873","17.65"
"57","1850","56","0.02146","0.02123","0.50","41843","888","41398","709649","16.96"
"58","1850","57","0.02194","0.02171","0.50","40954","889","40510","668251","16.32"
"59","1850","58","0.02243","0.02218","0.50","40065","889","39621","627741","15.67"
"60","1850","59","0.02378","0.02350","0.50","39177","921","38716","588120","15.01"
"61","1850","60","0.02621","0.02587","0.50","38256","990","37761","549404","14.36"
"62","1850","61","0.02677","0.02641","0.50","37266","984","36774","511643","13.73"
"63","1850","62","0.03171","0.03121","0.50","36282","1132","35716","474869","13.09"
"64","1850","63","0.03472","0.03413","0.50","35150","1200","34550","439153","12.49"
"65","1850","64","0.03981","0.03903","0.50","33950","1325","33287","404604","11.92"
"66","1850","65","0.04106","0.04023","0.50","32625","1313","31968","371316","11.38"
"67","1850","66","0.04539","0.04438","0.50","31312","1390","30617","339348","10.84"
"68","1850","67","0.04441","0.04344","0.50","29922","1300","29273","308730","10.32"
"69","1850","68","0.05675","0.05518","0.50","28623","1580","27833","279458","9.76"
"70","1850","69","0.05748","0.05587","0.50","27043","1511","26288","251625","9.30"
"71","1850","70","0.05930","0.05759","0.50","25532","1470","24797","225338","8.83"
"72","1850","71","0.06806","0.06582","0.50","24062","1584","23270","200541","8.33"
"73","1850","72","0.08458","0.08115","0.50","22478","1824","21566","177271","7.89"
"74","1850","73","0.07868","0.07571","0.50","20654","1564","19872","155705","7.54"
"75","1850","74","0.09210","0.08805","0.50","19090","1681","18250","135833","7.12"
"76","1850","75","0.09880","0.09415","0.50","17409","1639","16590","117583","6.75"
"77","1850","76","0.10542","0.10014","0.50","15770","1579","14981","100993","6.40"
"78","1850","77","0.11082","0.10500","0.50","14191","1490","13446","86013","6.06"
"79","1850","78","0.12545","0.11805","0.50","12701","1499","11951","72567","5.71"
"80","1850","79","0.12958","0.12169","0.50","11202","1363","10520","60616","5.41"
"81","1850","80","0.13772","0.12885","0.50","9838","1268","9205","50096","5.09"
"82","1850","81","0.13664","0.12790","0.50","8571","1096","8023","40891","4.77"
"83","1850","82","0.16312","0.15082","0.50","7475","1127","6911","32868","4.40"
"84","1850","83","0.19868","0.18072","0.50","6347","1147","5774","25957","4.09"
"85","1850","84","0.20958","0.18970","0.50","5200","986","4707","20184","3.88"
"86","1850","85","0.23019","0.20643","0.50","4214","870","3779","15477","3.67"
"87","1850","86","0.23288","0.20859","0.50","3344","698","2995","11698","3.50"
"88","1850","87","0.25235","0.22408","0.50","2646","593","2350","8703","3.29"
"89","1850","88","0.27288","0.24012","0.50","2053","493","1807","6353","3.09"
"90","1850","89","0.29441","0.25663","0.50","1560","400","1360","4546","2.91"
"91","1850","90","0.31690","0.27356","0.50","1160","317","1001","3186","2.75"
"92","1850","91","0.34029","0.29081","0.50","843","245","720","2185","2.59"
"93","1850","92","0.36447","0.30829","0.50","598","184","505","1465","2.45"
"94","1850","93","0.38937","0.32592","0.50","413","135","346","959","2.32"
"95","1850","94","0.41485","0.34358","0.50","279","96","231","613","2.20"
"96","1850","95","0.44080","0.36119","0.50","183","66","150","382","2.09"
"97","1850","96","0.46707","0.37864","0.50","117","44","95","233","1.99"
"98","1850","97","0.49353","0.39585","0.50","73","29","58","138","1.90"
"99","1850","98","0.52002","0.41271","0.50","44","18","35","80","1.81"
"100","1850","99","0.54640","0.42916","0.50","26","11","20","45","1.74"
"101","1850","100","0.57253","0.44511","0.50","15","7","11","25","1.67"
"102","1850","101","0.59825","0.46050","0.50","8","4","6","13","1.60"
"103","1850","102","0.62345","0.47529","0.50","4","2","3","7","1.55"
"104","1850","103","0.64799","0.48942","0.50","2","1","2","3","1.49"
"105","1850","104","0.67178","0.50287","0.50","1","1","1","2","1.45"
"106","1850","105","0.69472","0.51561","0.50","1","0","0","1","1.40"
"107","1850","106","0.71673","0.52764","0.50","0","0","0","0","1.36"
"108","1850","107","0.73775","0.53895","0.50","0","0","0","0","1.33"
"109","1850","108","0.75774","0.54954","0.50","0","0","0","0","1.30"
"110","1850","109","0.77667","0.55942","0.50","0","0","0","0","1.27"
"111","1850","110+","0.79452","1.00000","1.26","0","0","0","0","1.26"
"112","1851","0","0.19928","0.17532","0.31","100000","17532","87975","4092568","40.93"
"113","1851","1","0.07145","0.06899","0.50","82468","5689","79623","4004593","48.56"
"114","1851","2","0.03969","0.03892","0.50","76779","2988","75285","3924970","51.12"
"115","1851","3","0.02145","0.02122","0.50","73790","1566","73008","3849685","52.17"
"116","1851","4","0.01528","0.01516","0.50","72225","1095","71677","3776677","52.29"
"117","1851","5","0.01143","0.01137","0.50","71129","809","70725","3705000","52.09"
"118","1851","6","0.00993","0.00988","0.50","70321","695","69973","3634275","51.68"
"119","1851","7","0.00842","0.00838","0.50","69626","584","69334","3564302","51.19"
"120","1851","8","0.00729","0.00726","0.50","69042","502","68792","3494968","50.62"
"121","1851","9","0.00639","0.00637","0.50","68541","437","68322","3426176","49.99"
"122","1851","10","0.00577","0.00576","0.50","68104","392","67908","3357854","49.30"
"123","1851","11","0.00505","0.00504","0.50","67712","341","67541","3289946","48.59"
"124","1851","12","0.00443","0.00442","0.50","67371","298","67222","3222404","47.83"
"125","1851","13","0.00429","0.00428","0.50","67073","287","66930","3155183","47.04"
"126","1851","14","0.00500","0.00499","0.50","66786","333","66620","3088253","46.24"
"127","1851","15","0.00516","0.00515","0.50","66453","342","66282","3021633","45.47"
"128","1851","16","0.00522","0.00521","0.50","66111","344","65939","2955351","44.70"
"129","1851","17","0.00600","0.00599","0.50","65767","394","65570","2889413","43.93"
"130","1851","18","0.00653","0.00651","0.50","65373","426","65160","2823843","43.20"
"131","1851","19","0.00725","0.00723","0.50","64947","469","64712","2758683","42.48"
"132","1851","20","0.00812","0.00809","0.50","64478","521","64217","2693971","41.78"
"133","1851","21","0.00569","0.00567","0.50","63956","363","63775","2629754","41.12"
"134","1851","22","0.00714","0.00712","0.50","63593","453","63367","2565979","40.35"
"135","1851","23","0.00729","0.00727","0.50","63141","459","62911","2502612","39.64"
"136","1851","24","0.00709","0.00707","0.50","62682","443","62460","2439701","38.92"
