"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex"
"1","1958","0","0.06562","0.06274","0.30","100000","6274","95616","6861344","68.61"
"2","1958","1","0.00474","0.00472","0.50","93726","443","93505","6765728","72.19"
"3","1958","2","0.00173","0.00173","0.50","93283","162","93202","6672223","71.53"
"4","1958","3","0.00119","0.00119","0.50","93122","111","93066","6579021","70.65"
"5","1958","4","0.00085","0.00085","0.50","93011","79","92971","6485955","69.73"
"6","1958","5","0.00071","0.00071","0.50","92931","66","92899","6392984","68.79"
"7","1958","6","0.00060","0.00060","0.50","92866","56","92838","6300085","67.84"
"8","1958","7","0.00054","0.00054","0.50","92810","50","92785","6207247","66.88"
"9","1958","8","0.00043","0.00043","0.50","92760","40","92740","6114462","65.92"
"10","1958","9","0.00038","0.00038","0.50","92720","35","92702","6021722","64.95"
"11","1958","10","0.00041","0.00041","0.50","92685","38","92666","5929020","63.97"
"12","1958","11","0.00036","0.00036","0.50","92647","33","92631","5836354","63.00"
"13","1958","12","0.00049","0.00049","0.50","92614","46","92591","5743723","62.02"
"14","1958","13","0.00045","0.00045","0.50","92568","42","92547","5651132","61.05"
"15","1958","14","0.00045","0.00045","0.50","92526","42","92505","5558585","60.08"
"16","1958","15","0.00057","0.00057","0.50","92484","53","92458","5466080","59.10"
"17","1958","16","0.00063","0.00063","0.50","92431","58","92402","5373622","58.14"
"18","1958","17","0.00058","0.00058","0.50","92373","54","92347","5281220","57.17"
"19","1958","18","0.00078","0.00078","0.50","92320","72","92284","5188873","56.21"
"20","1958","19","0.00084","0.00084","0.50","92248","78","92209","5096589","55.25"
"21","1958","20","0.00090","0.00090","0.50","92170","83","92128","5004381","54.30"
"22","1958","21","0.00095","0.00095","0.50","92087","88","92043","4912253","53.34"
"23","1958","22","0.00091","0.00091","0.50","91999","84","91957","4820210","52.39"
"24","1958","23","0.00104","0.00104","0.50","91915","96","91867","4728253","51.44"
"25","1958","24","0.00115","0.00115","0.50","91819","105","91767","4636385","50.49"
"26","1958","25","0.00119","0.00119","0.50","91714","109","91659","4544619","49.55"
"27","1958","26","0.00116","0.00116","0.50","91605","107","91551","4452959","48.61"
"28","1958","27","0.00125","0.00125","0.50","91498","114","91441","4361408","47.67"
"29","1958","28","0.00131","0.00131","0.50","91384","119","91324","4269967","46.73"
"30","1958","29","0.00134","0.00134","0.50","91264","122","91203","4178643","45.79"
"31","1958","30","0.00155","0.00155","0.50","91142","141","91072","4087440","44.85"
"32","1958","31","0.00135","0.00135","0.50","91001","122","90940","3996369","43.92"
"33","1958","32","0.00148","0.00148","0.50","90879","135","90811","3905429","42.97"
"34","1958","33","0.00147","0.00147","0.50","90744","133","90677","3814618","42.04"
"35","1958","34","0.00184","0.00184","0.50","90611","167","90527","3723940","41.10"
"36","1958","35","0.00186","0.00186","0.50","90444","168","90360","3633413","40.17"
"37","1958","36","0.00191","0.00191","0.50","90276","172","90190","3543053","39.25"
"38","1958","37","0.00193","0.00193","0.50","90104","173","90017","3452864","38.32"
"39","1958","38","0.00218","0.00218","0.50","89930","196","89832","3362847","37.39"
"40","1958","39","0.00203","0.00202","0.50","89734","182","89644","3273015","36.47"
"41","1958","40","0.00250","0.00249","0.50","89553","223","89441","3183371","35.55"
"42","1958","41","0.00245","0.00244","0.50","89329","218","89220","3093930","34.64"
"43","1958","42","0.00266","0.00266","0.50","89111","237","88993","3004710","33.72"
"44","1958","43","0.00316","0.00316","0.50","88874","281","88734","2915717","32.81"
"45","1958","44","0.00311","0.00310","0.50","88593","275","88456","2826984","31.91"
"46","1958","45","0.00310","0.00309","0.50","88318","273","88182","2738528","31.01"
"47","1958","46","0.00355","0.00355","0.50","88045","312","87889","2650346","30.10"
"48","1958","47","0.00385","0.00384","0.50","87733","337","87564","2562457","29.21"
"49","1958","48","0.00428","0.00427","0.50","87396","373","87209","2474893","28.32"
"50","1958","49","0.00480","0.00479","0.50","87023","417","86815","2387683","27.44"
"51","1958","50","0.00466","0.00465","0.50","86606","403","86405","2300869","26.57"
"52","1958","51","0.00534","0.00533","0.50","86203","459","85973","2214464","25.69"
"53","1958","52","0.00556","0.00555","0.50","85744","476","85506","2128491","24.82"
"54","1958","53","0.00653","0.00650","0.50","85268","555","84991","2042985","23.96"
"55","1958","54","0.00707","0.00705","0.50","84713","597","84415","1957994","23.11"
"56","1958","55","0.00761","0.00758","0.50","84117","638","83798","1873579","22.27"
"57","1958","56","0.00851","0.00847","0.50","83479","707","83125","1789781","21.44"
"58","1958","57","0.00893","0.00889","0.50","82772","736","82404","1706656","20.62"
"59","1958","58","0.01027","0.01022","0.50","82036","838","81617","1624252","19.80"
"60","1958","59","0.01158","0.01152","0.50","81198","935","80730","1542635","19.00"
"61","1958","60","0.01315","0.01306","0.50","80263","1048","79738","1461905","18.21"
"62","1958","61","0.01356","0.01347","0.50","79214","1067","78681","1382166","17.45"
"63","1958","62","0.01585","0.01573","0.50","78147","1229","77533","1303486","16.68"
"64","1958","63","0.01642","0.01629","0.50","76918","1253","76292","1225953","15.94"
"65","1958","64","0.01988","0.01969","0.50","75665","1489","74920","1149662","15.19"
"66","1958","65","0.02034","0.02013","0.50","74176","1493","73429","1074741","14.49"
"67","1958","66","0.02480","0.02449","0.50","72682","1780","71792","1001312","13.78"
"68","1958","67","0.02616","0.02582","0.50","70902","1831","69987","929520","13.11"
"69","1958","68","0.02944","0.02901","0.50","69072","2004","68070","859533","12.44"
"70","1958","69","0.03292","0.03238","0.50","67067","2172","65982","791464","11.80"
"71","1958","70","0.03556","0.03494","0.50","64896","2268","63762","725482","11.18"
"72","1958","71","0.04262","0.04173","0.50","62628","2613","61321","661720","10.57"
